word,meaning
rhabdite,": one of the minute, smooth, rodlike or fusiform structures produced in the cells of the epidermis or in cells sunk within the underlying parenchyma of many turbellarians and a few trematodes and discharged in great numbers in the mucous secretions of these animals"
rhabditiform,: rhabditoid
Rhabditis,": a genus (the type of the family Rhabditidae) of minute nematode worms that have the esophagus clearly divided into three regions, live in soil and organic debris, and occasionally occur as facultative parasites in mammalian tissues including those of humans"
rhabdium,: a striated muscle fiber
Rhabdocoela,": an order of Turbellaria comprising small marine, freshwater, or rarely terrestrial flatworms with simple unbranched intestine"
rhabdocoelan,": an order of Turbellaria comprising small marine, freshwater, or rarely terrestrial flatworms with simple unbranched intestine"
rhabdocoele,: a turbellarian worm (order Rhabdocoela) with an unbranched intestine
Rhabdocoelida,": an order or other division of Turbellaria including the Alloiocoela, the Rhabdocoela, and sometimes the Acoela"
rhabdocoelidan,": an order or other division of Turbellaria including the Alloiocoela, the Rhabdocoela, and sometimes the Acoela"
rhabdocoelous,": an order of Turbellaria comprising small marine, freshwater, or rarely terrestrial flatworms with simple unbranched intestine"
rhabdoid,: shaped like a rod
rhabdoidal,: shaped like a rod
rhabdolith,: a minute calcareous rodlike structure found both at the surface and on the bottom of the ocean
rhabdom,: one of the minute rodlike structures in the retinulae in the compound eyes of arthropods
rhabdomancer,: divination by rods or wands
rhabdomancy,: divination by rods or wands
Rhabdomonas,": a genus of motile, elongated, often spindle-shaped sulfur bacteria (family Thiorhodaceae) usually rose-red in color"
rhabdomyoma,: a benign tumor composed of striated muscle fibers
rhabdomyosarcoma,: a malignant tumor composed of striated muscle fibers
rhabdophane,": a brown, pinkish, or yellowish white hydrous phosphate (Ce, Y, La, etc.,)(PO4).H2O of cerium, yttrium, and rare-earth elements occurring massive"
rhabdophanite,: rhabdophane
rhabdophoran,: graptolite
Rhabdopleura,: a widely distributed genus of marine compound animals having two tentacle-bearing arms and usually classed as hemichordates in the order Pterobranchia
rhabdopod,: one of the rodlike styles of the males of many insects
rhabdosome,: a colonial graptolite derived from a single individual
rhabdus,: a simple uniaxial sponge spicule
Rhacomitrium,: a genus of acrocarpous mosses (family Grimmiaceae) growing chiefly on sandstone rocks and having often hair-pointed leaves and sinuous leaf cells
Rhadamanthine,: rigorously strict or just
Rhadamanthus,: a judge of the underworld in Greek mythology
Rhaetian,ancient Roman province of central Europe south of the Danube River including most of the modern Tyrol and Vorarlberg regions of Austria and Graub�nden canton of eastern Switzerland
Rhaetic,: an ancient language of Rhaetia of unknown relationship
rhagades,: linear cracks or fissures in the skin occurring especially at the angles of the mouth or about the anus
rhagadiform,: having or characterized by cracks or fissures
rhagionid,: of or relating to the Rhagionidae
Rhagionidae,": a widely distributed family of predaceous two-winged flies having usually a tapering body, long slender legs, and sometimes a conspicuous downward-projecting proboscis"
Rhagodia,: a genus of Australian shrubs or herbs (family Chenopodiaceae) with small greenish spicate or panicled flowers succeeded by fleshy berries
rhagon,: leucon
rhamn,: buckthorn : rhamnose
Rhamnaceae,: a widely distributed family (order Rhamnales) of thorny shrubs and trees having undivided stipulate leaves and cymose flowers with the stamens opposite the petals and a superior ovary that becomes a 3-celled capsule or a drupe
rhamnaceous,: a widely distributed family (order Rhamnales) of thorny shrubs and trees having undivided stipulate leaves and cymose flowers with the stamens opposite the petals and a superior ovary that becomes a 3-celled capsule or a drupe
Rhamnales,: an order of dicotyledonous woody plants in which the stamens are equal in number with the sepals and alternate with them and the ovary is surrounded by a disk
rhamnetin,: a yellow crystalline dye C16H12O7 that is obtained by hydrolysis of xanthorhamnin from Persian berries and is a methyl ether of quercetin
rhamninose,: a crystalline reducing trisaccharide sugar C18H32O14 obtained by hydrolysis of xanthorhamnin and on further hydrolysis yielding rhamnose and galactose
rhamnitol,: a crystalline pentahydroxy alcohol C6H9(OH)5 obtained by reducing rhamnose
rhamnonic,: an acid CH3(CHOH)4COOH obtained by oxidation of rhamnose
rhamnose,: a crystalline sugar C6H12O5 that occurs usually in the form of a glycoside in many plants and is obtained in the common dextrorotatory l form
rhamnoside,: a glycoside that yields rhamnose on hydrolysis
Rhamnus,": a genus (family Rhamnaceae) of trees and shrubs that have small flowers and a fruit which is a drupe and that comprise the buckthorns (as cascara buckthorn, R. purshiana) of which some yield pigments or purgatives (as cascara sagrada)"
rhamphoid,: shaped like a beak
Rhamphorhynchus,: a genus (the type of the family Rhamphorhynchidae) of pterosaurs having an elongated tail supporting a leathery expansion at the tip and slender forwardly directed teeth
rhamphotheca,: the horny sheath composed of modified scales of a bird's bill
rhapontic,: a rhubarb (Rheum rhaponticum)
rhaponticin,: a crystalline glucoside C21H24O9 found in rhubarb
rhapontin,: a crystalline glucoside C21H24O9 found in rhubarb
rhapsode,: rhapsodist
rhapsodic,: extravagantly emotional : rapturous
rhapsodical,: extravagantly emotional : rapturous
rhapsodically,: extravagantly emotional : rapturous
rhapsodist,: a professional reciter of epic poems
rhapsodize,: to speak or write in a rhapsodic manner
rhapsody,: a portion of an epic poem adapted for recitation
rhason,: an ecclesiastical garment resembling the cassock
rhasophore,: a member of a monastic order who has not yet passed through the novitiate : novice
rhatany,:  par� rhatany
rhe,: the cgs unit of fluidity : the reciprocal of poise
Rhea,": either of two South American ratite birds (Rhea americana and Pterocnemia pennata of the family Rheidae) that resemble but are smaller than the African ostrich and that have three toes, a fully feathered head and neck, an undeveloped tail, and pale gray to brownish feathers that droop over the rump and back"
rhea,": either of two South American ratite birds (Rhea americana and Pterocnemia pennata of the family Rheidae) that resemble but are smaller than the African ostrich and that have three toes, a fully feathered head and neck, an undeveloped tail, and pale gray to brownish feathers that droop over the rump and back"
rheadine,: a nonpoisonous crystalline alkaloid C21H21NO6 found in various poppies (as the corn poppy)
rhebok,: a brownish-gray antelope (Pelea capreolus) of southern Africa
rheic,:  chrysophanic acid
Rheidae,: a family of birds coextensive with the order Rheiformes
Rheiformes,: an order of birds that are intermediate in some respects between the ostriches and the emus and cassowaries and that comprise the recent and extinct rheas
rhein,river 820 miles (1320 kilometers) long in western Europe flowing from southeastern Switzerland to the North Sea in the Netherlands and forming the western boundary of Liechtenstein and Austria and the southwestern boundary of Germany
Rhemish,": of or relating to the city of Reims, France, or to its people"
Rhenish,river 820 miles (1320 kilometers) long in western Europe flowing from southeastern Switzerland to the North Sea in the Netherlands and forming the western boundary of Liechtenstein and Austria and the southwestern boundary of Germany
rhenium,": a rare heavy metallic element that is obtained either as a gray powder or as a silver-white hard metal, is usually extracted as a by-product of molybdenum smelting, and is used especially in catalysts and alloys  � see Chemical Elements Table"
rheobase,: the minimal electric current required to excite a tissue (as nerve or muscle) given an indefinitely long time during which the current is applied  � compare chronaxie
rheologist,: a science dealing with the deformation and flow of matter
rheology,: a science dealing with the deformation and flow of matter
rheometer,: an instrument for measuring flow (as of viscous substances)
rheophile,: preferring or living in flowing water
rheoplankton,: plankton of running waters (as of rivers)
rheostat,: a resistor for regulating a current by means of variable resistances
rheostatic,: a resistor for regulating a current by means of variable resistances
rheotactic,: relating to or exhibiting rheotaxis
rheotaxis,: a taxis in which mechanical stimulation by a stream of fluid (as water) is the directive factor
rheotrope,: a commutator for reversing a current
rheotropic,: relating to or exhibiting rheotropism
rheotropism,: a tropism in which mechanical stimulation by a stream of fluid (as water) is the orienting factor
rhesus,: a pale brown Asian macaque (Macaca mulatta) often used in medical research
rhetor,: rhetorician sense 1
rhetoric,: the art of speaking or writing effectively: such as
rhetorical,": of, relating to, or concerned with rhetoric"
rhetorically,": of, relating to, or concerned with rhetoric"
rhetoricalness,: the condition of being rhetorical
rhetorician,: a master or teacher of rhetoric
rhetorize,: to use rhetorical language
Rheum,: a watery discharge from the mucous membranes especially of the eyes or nose
rheum,: a watery discharge from the mucous membranes especially of the eyes or nose
rheumatic,": of, relating to, characteristic of, or affected with rheumatism"
rheumatically,": of, relating to, characteristic of, or affected with rheumatism"
rheumaticky,: rheumatic
rheumatism,": any of various conditions characterized by inflammation or pain in muscles, joints, or fibrous tissue"
rheumatiz,: rheumatism
rheumatoid,: characteristic of or affected with rheumatoid arthritis
rheumed,: rheumy
rheumily,: in a rheumy manner
rheumy,: a watery discharge from the mucous membranes especially of the eyes or nose
Rhexia,: a small genus of herbs (family Melastomaceae) having 3-nerved leaves and red or yellow flowers with 4 petals and 8 equal anthers  � see deer grass
rhexis,: rupture sense 1
rhigolene,: a petroleum product intermediate between cymogene and gasoline containing chiefly pentanes and used formerly in medicine as a local anesthetic
Rhina,: one or ones having (such) a nose�in taxonomic names in zoology
rhinal,: of or relating to the nose : nasal
Rhinanthaceae,: a family of dicotyledonous plants that includes those figworts having the lower lip or lateral lobes of the corolla external in the bud
Rhinanthus,": a small genus of partially parasitic herbs (family Scrophulariaceae) that have an inflated 4-toothed calyx, bilabiate corolla, four unequal stamens, and winged seeds  � see rattle"
rhinarium,: the lower part of the clypeus in some insects (as dragonflies)
rhine,river 820 miles (1320 kilometers) long in western Europe flowing from southeastern Switzerland to the North Sea in the Netherlands and forming the western boundary of Liechtenstein and Austria and the southwestern boundary of Germany
Rhineland,the part of Germany west of the Rhine River
Rhinelander,the part of Germany west of the Rhine River
rhinencephalic,: the chiefly olfactory part of the forebrain
rhinencephalon,: the chiefly olfactory part of the forebrain
rhinestone,": an imitation stone of high luster made of glass, paste, or gem quartz"
Rhineura,: a genus of limbless burrowing lizards (family Amphisbaenidae) that includes solely the thunderworm
rhinion,: a point at the lower end of the median suture joining the nasal bones
rhinitis,: inflammation of the mucous membrane of the nose
rhino,": money, cash"
Rhinobatidae,": a family of viviparous elasmobranch fishes of warm seas comprising the guitarfishes, fiddlers, and related forms that are included among the rays but somewhat approach the sharks in the long narrow body and the possession of a tail fin"
rhinocerine,: rhinocerotic
rhinoceroid,: rhinocerotid
rhinoceros,: any of a family (Rhinocerotidae) of large heavyset herbivorous perissodactyl mammals of Africa and Asia that have one or two upright keratinous horns on the snout and thick gray to brown skin with little hair
rhinocerotic,": of, relating to, or resembling a rhinoceros"
Rhinocerotidae,: a family of mammals that contains all the true rhinoceroses and that is often considered to constitute together with extinct related forms a distinct superfamily of Perissodactyla
rhinocerotiform,: resembling a rhinoceros
rhinocerotine,: rhinocerotic
rhinocerotoid,: rhinocerotic
rhinolalia,: nasal tone in speech especially when caused by excessive closure or openness of the posterior nares
rhinolaryngology,: a branch of medical science dealing with the nose and larynx
rhinolaryngoscope,: a scope fitted with mirrors and a lighting system used for examination of the nose and larynx
rhinolith,: a concretion formed within the cavities of the nose
rhinological,: of or relating to the nose
rhinologist,: a physician who specializes in rhinology
rhinology,: a branch of medicine that deals with the nose and its diseases
rhinolophid,: a leaf-nosed bat of the family Rhinolophidae
Rhinolophidae,: a family of Old World leaf-nosed bats that includes many common horseshoe bats
rhinolophine,: of or relating to the family Rhinolophidae
rhinopharyngeal,: nasopharyngeal
rhinopharyngitis,: inflammation of the mucous membrane of the nose and pharynx
rhinopharynx,: nasopharynx
Rhinophis,: a genus of shieldtail snakes of the family Uropeltidae
rhinophonia,: marked nasal resonance
rhinophore,: one of the two tentacles that are considered to be olfactory organs on the back of the head or neck of a mollusk of the order Opisthobranchia
rhinophyma,: a nodular swelling and congestion of the nose in an advanced stage of rosacea
rhinoplastic,": of, relating to, or being rhinoplasty"
rhinoplasty,: plastic surgery on the nose usually for cosmetic purposes
Rhinoptera,: a genus of rays comprising the cow-nosed rays and being sometimes placed in a separated family but usually included among the Myliobatidae
rhinorrhagia,: nosebleed
rhinorrhea,: excessive mucous secretion from the nose
rhinoscleroma,: a chronic inflammatory disease of the mucosa of the respiratory tract and especially the nasal cavity that is caused by infection with a bacterium of the genus Klebsiella (K. rhinoscleromatis) and is marked by granulomatous swelling with the formation of rubbery nodules followed by sclerosis of tissue
rhinoscope,: an instrument (as an endoscope) for examining the cavities and passages of the nose
rhinoscopic,: examination of the nasal passages
rhinoscopy,: examination of the nasal passages
rhinosporidiosis,": a fungal disease of the external mucous membranes (as of the nose) that is characterized by the formation of pinkish red, friable, sessile, or pedunculated polyps and is caused by an ascomycetous fungus of the genus Rhinosporidium (R. seeberi)"
Rhinosporidium,: a genus of ascomycetous fungi that include the causative agent (R. seeberi) of rhinosporidiosis
rhinotheca,: the sheath of the upper mandible of a bird
rhinothecal,: the sheath of the upper mandible of a bird
rhipidate,: fan-shaped
Rhipidistia,": an order of extinct crossopterygian fishes that have the basal bones of the median fins united into one mass  � see holoptychiidae , osteolepidae"
rhipidistian,": an order of extinct crossopterygian fishes that have the basal bones of the median fins united into one mass  � see holoptychiidae , osteolepidae"
rhipidium,: a fan-shaped cymose inflorescence (as in some sedges) in which the branches lie in the same plane and are suppressed alternately on each side
Rhipidoglossa,": a suborder of Aspidobranchia that comprises gastropod mollusks (as the abalones, the top shells, and the keyhole limpets) having a long radula with teeth that are long and hooklike in each transverse row and with indefinitely numerous marginal teeth becoming smaller toward the edges  � see helicina"
rhipidoglossal,": a suborder of Aspidobranchia that comprises gastropod mollusks (as the abalones, the top shells, and the keyhole limpets) having a long radula with teeth that are long and hooklike in each transverse row and with indefinitely numerous marginal teeth becoming smaller toward the edges  � see helicina"
rhipidoglossate,": a suborder of Aspidobranchia that comprises gastropod mollusks (as the abalones, the top shells, and the keyhole limpets) having a long radula with teeth that are long and hooklike in each transverse row and with indefinitely numerous marginal teeth becoming smaller toward the edges  � see helicina"
rhipidopterous,: strepsipteral
rhipiphorid,: of or relating to the Rhipiphoridae
Rhipiphoridae,": a family of small beetles that are parasitic on wasps and other insects, have a pointed abdomen, and undergo hypermetamorphosis"
rhipipterous,: strepsipteral
Rhipsalis,: a genus consisting of chiefly tropical American unarmed cacti that have fleshy mostly cylindrical stems of very diverse habit and small flowers with 6 to 10 petals followed by a berrylike fruit and are often epiphytes with pendent branches  � see mistletoe cactus
Rhiptoglossa,: a division of reptiles often considered a superfamily of Lacertilia that comprises the Old World chameleons
rhizanthous,: producing flowers apparently directly from the root
rhizautoicous,: having the antheridia on a branch connected by rhizoids to the archegonial branch
Rhizina,: rhizoid
rhizine,: rhizoid
rhizinous,: rhizoid
Rhizobium,: any of a genus (Rhizobium) of small heterotrophic soil bacteria capable of forming symbiotic nodules on the roots of leguminous plants and of there becoming bacteroids that fix atmospheric nitrogen
rhizocarpic,: having perennial underground parts but annual stems and foliage
rhizocarpous,: having perennial underground parts but annual stems and foliage
rhizocaul,: hydrorhiza
rhizocaulus,: hydrorhiza
Rhizocephala,": an order of Cirripedia comprising extremely degenerate forms that live as parasites on crabs and hermit crabs, are hermaphroditic though complementary males occur, when young pass through stages similar to those of a developing barnacle, and afterward attach themselves to suitable hosts where after a complex series of changes they become limbless unsegmented tumid sacs attached by a short peduncle from which rootlike processes penetrate to all parts of the host and absorb its juices  � see peltogaster , sacculina"
rhizocephalan,: a crustacean of the order Rhizocephala
rhizocephalous,: of or relating to the Rhizocephala
Rhizoctonia,: any of a form genus (Rhizoctonia) of imperfect fungi that includes major plant pathogens
rhizoctoniose,: rhizoctonia disease sense 1
rhizodermis,: epiblem
rhizogen,: rhizogenic
rhizogenetic,: producing roots
rhizogenic,: producing roots
rhizogenous,: producing roots
rhizoid,: a rootlike structure
rhizoidal,: a rootlike structure
rhizoma,: rhizome
rhizomatic,": of, relating to, or resembling a rhizome"
rhizomatous,": having, resembling, or being a rhizome"
rhizome,": a somewhat elongated usually horizontal subterranean plant stem that is often thickened by deposits of reserve food material, produces shoots above and roots below, and is distinguished from a true root in possessing buds, nodes, and usually scalelike leaves"
rhizomelic,: of or relating to the hip and shoulder joints
rhizomic,": a somewhat elongated usually horizontal subterranean plant stem that is often thickened by deposits of reserve food material, produces shoots above and roots below, and is distinguished from a true root in possessing buds, nodes, and usually scalelike leaves"
rhizomorph,: an aggregation of fungal threads intertwining like the strands of a rope that frequently resembles a root and is characteristic of many basidiomycetes (as Armillaria mellea)
rhizomorphic,: an aggregation of fungal threads intertwining like the strands of a rope that frequently resembles a root and is characteristic of many basidiomycetes (as Armillaria mellea)
rhizomorphoid,: rhizomorphous
rhizomorphous,: having the form of a root
Rhizophora,: a small genus (the type of the family Rhizophoraceae) of tropical trees and shrubs that have tetramerous flowers and a partly inferior ovary forming a fleshy berry  � see mangrove
Rhizophoraceae,": a family of trees and shrubs (order Myrtales) that usually form dense jungles along tropical seacoasts and that have opposite coriaceous leaves, flowers with valvate calyx and 2- to 6-celled ovary, and seeds that germinate while the fruit is still attached  � compare mangrove"
rhizophoraceous,": a family of trees and shrubs (order Myrtales) that usually form dense jungles along tropical seacoasts and that have opposite coriaceous leaves, flowers with valvate calyx and 2- to 6-celled ovary, and seeds that germinate while the fruit is still attached  � compare mangrove"
rhizophore,: one of the downward-growing leafless dichotomous shoots in club mosses of the genus Selaginella that bear tufts of adventitious roots at the apex
rhizoplast,: a fibril that connects the blepharoplast with the nucleus in flagellated cells or organisms
rhizopod,: any of a superclass (Rhizopoda) of usually creeping protozoans (such as an amoeba or a foraminifer) having lobate or rootlike pseudopodia
Rhizopoda,: a subphylum or other taxonomic group of protozoans of the phylum Sarcomastigophora that includes protozoans forming pseudopodia which ordinarily serve as organs for locomotion and taking food  � see rhizopoda
Rhizopogon,: a genus of fungi (family Hymenogastraceae) that produce subterranean sporophores resembling tubers with 2-spored to 8-spored basidia in a compact gleba of irregular chambers
Rhizopus,: any of a genus (Rhizopus) of mold fungi including some economically valuable forms and some plant or animal pathogens (such as a bread mold)
rhizosphere,: soil that surrounds and is influenced by the roots of a plant
Rhizostomae,": an order of Scyphozoa comprising jellyfishes that are related to the Semaeostomeae but are distinguished from them by fused oral lobes, by numerous small mouths replacing the primary mouth, and by the absence of tentacles and including various large jellyfishes that are dried and used as food in China and Japan"
rhizostomatous,": an order of Scyphozoa comprising jellyfishes that are related to the Semaeostomeae but are distinguished from them by fused oral lobes, by numerous small mouths replacing the primary mouth, and by the absence of tentacles and including various large jellyfishes that are dried and used as food in China and Japan"
rhizostome,": an order of Scyphozoa comprising jellyfishes that are related to the Semaeostomeae but are distinguished from them by fused oral lobes, by numerous small mouths replacing the primary mouth, and by the absence of tentacles and including various large jellyfishes that are dried and used as food in China and Japan"
rhizostomous,": an order of Scyphozoa comprising jellyfishes that are related to the Semaeostomeae but are distinguished from them by fused oral lobes, by numerous small mouths replacing the primary mouth, and by the absence of tentacles and including various large jellyfishes that are dried and used as food in China and Japan"
Rhizota,: an order of rotifers that when adult are attached by the truncated end of the tail
rhizote,: an order of rotifers that when adult are attached by the truncated end of the tail
rhizotic,: an order of rotifers that when adult are attached by the truncated end of the tail
rhizotomy,: the operation of cutting the anterior or posterior spinal nerve roots
rho,: the 17th letter of the Greek alphabet  � see Alphabet Table
Rhodamine,: any of a group of yellowish-red to blue fluorescent dyes
rhodamine,: any of a group of yellowish-red to blue fluorescent dyes
rhodanate,: thiocyanate
rhodanic,: thiocyanic acid
rhodanine,: a pale yellow crystalline acid C3H3NOS2 that is derived from thiazole and is used in the synthesis of phenylalanine
rhodanthe,: an Australian annual everlasting (Helipterum manglesii) having nodding flower heads with scarious involucral bracts
rhodeose,: fucose
Rhodes,Cecil John 1853�1902 British administrator and financier in South Africa
Rhodesian,region of central southern Africa comprising Zambia and Zimbabwe and containing rich archaeological findings
Rhodesoid,: resembling or having the characteristics of Rhodesian man
rhodeswood,: a torchwood (Amyris balsamifera)
Rhodian,Cecil John 1853�1902 British administrator and financier in South Africa
rhodinol,": a liquid obtained usually from geranium oil or rose oil, consisting essentially of citronellol and geraniol, and used in perfumes especially of the rose type"
rhodite,: a mineral consisting of a native alloy of rhodium and gold
rhodium,": a rare silvery-white hard ductile metallic element that is resistant to acids, sometimes occurs naturally in pure form but is usually obtained from nickel ores, and is used especially as a catalyst and in platinum alloys  � see Chemical Elements Table"
rhodizite,": a mineral NaKLiAl4Be3B10O27 consisting of a borate of aluminum, beryllium, lithium, potassium, and sodium occurring in white isometric crystals (hardness 8, specific gravity 3.4)"
rhodizonic,: a cyclic acid C6H2O6 known in an unstable colored enediol form and a colorless more stable tautomeric form but obtained usually in the form of a colored salt (as the red disodium salt by passing carbon monoxide into a solution of sodium in liquid ammonia)
Rhodobacteriaceae,: a family of Thiobacteriales coextensive with Rhodobacteriinae
rhodochrosite,: a rose-red mineral consisting essentially of manganese carbonate
rhododendron,: any of a genus (Rhododendron) of widely cultivated shrubs and trees of the heath family with alternate leaves and showy flowers
rhodolite,: a pink or purple garnet used as a gem
Rhodomelaceae,: a large family of filamentous red algae (order Rhodymeniales) characterized by a much-branched thallus in which the main axis and branches consist of a polysiphonic arrangement of filaments
rhodomelaceous,: a large family of filamentous red algae (order Rhodymeniales) characterized by a much-branched thallus in which the main axis and branches consist of a polysiphonic arrangement of filaments
rhodonite,: a pale red triclinic mineral that consists essentially of manganese silicate and is used as an ornamental stone
Rhodope,mountains in southern Bulgaria and northeastern Greece
Rhodophyceae,": a class of chiefly marine multicellular algae (division Rhodophyta) comprising algae in which red phycoerythrin and sometimes blue phycocyanin mask the chlorophyll, in which no motile form or stage exists, and in which there is a well-marked and often complex alternation of generations  � compare red alga"
