word,meaning
millrynd,: an iron support fixed across the hole in the upper millstone of a grist mill
millsite,: a site for a mill
millstone,: either of two circular stones used for grinding something (such as grain)
millstream,: a stream whose flow is utilized to run a mill
milltail,: the water that flows from a mill wheel after turning it or the channel in which the water flows
millwork,": woodwork (such as doors, sashes, or trim) manufactured at a mill"
millwright,: a person whose occupation is planning and building mills or setting up their machinery
Milner,: miller sense 1
milner,: miller sense 1
Milo,: a small usually early and drought-resistant grain sorghum with compact bearded heads of large yellow or whitish seeds
milo,: a small usually early and drought-resistant grain sorghum with compact bearded heads of large yellow or whitish seeds
milord,: an Englishman of noble or gentle birth
milpa,": a small field in Mexico or Central America that is cleared from the forest, cropped for a few seasons, and abandoned for a fresh clearing"
milreis,: a Portuguese unit of value equal before 1911 to 1000 reales
milsey,: a milk strainer
milsie,: a milk strainer
milt,: the sperm-containing fluid of a male fish
milter,: a male fish in breeding condition
Miltonia,: a genus of tropical American orchids having flowers with a large unlobed labellum and flat spreading perianth  � see pansy orchid
Miltonian,John 1608�1674 English poet
Miltonic,John 1608�1674 English poet
Miltonism,: a Miltonic expression
Miltonist,:  miltonian
Miltonize,: to write in imitation of John Milton's poetic style
milty,": like, resembling, or full of milt"
Milvago,: a genus of brown and white South American caracaras
Milvus,: a genus of birds (family Falconidae) including the common European kite
milzbrand,: anthrax
mim,: affectedly shy or modest
Mimbreno,: an American Indian people constituting a subdivision of the Gile�o
Mime,: an ancient dramatic entertainment representing scenes from life usually in a ridiculous manner
mime,: an ancient dramatic entertainment representing scenes from life usually in a ridiculous manner
mimeo,: a mimeographed publication
mimeograph,: a duplicator for making many copies that utilizes a stencil through which ink is pressed
mimer,: an ancient dramatic entertainment representing scenes from life usually in a ridiculous manner
mimesis,": imitation, mimicry"
mimetene,: mimetite
mimetesite,: mimetite
mimetic,: imitative
mimetically,: imitative
mimetism,: mimicry
mimetite,: a lead arsenate and chloride Pb5Cl(AsO4)3 isomorphous with pyromorphite
mimiambi,: mimes in iambic or choliambic verse
mimic,: mime sense 2
mimical,: mimic
mimically,: mimic
mimicry,: an instance of mimicking
Mimidae,": a family of American passerine birds that includes the catbird, mockingbirds, and thrashers and is sometimes considered to constitute a subfamily of Troglodytidae"
mimine,: of or relating to the Mimidae
miminypiminy,: absurdly nice : ridiculously delicate
mimmation,: the addition of a final m in Akkadian  � compare nunnation
mimmouthed,: primly reticent : closemouthed
mimographer,: a writer of mimes
Mimosa,": any of a genus (Mimosa) of trees, shrubs, and herbs of the legume family that occur in tropical and warm regions and have usually bipinnate often prickly leaves and globular heads of small white or pink flowers"
Mimosaceae,: a family of plants (order Rosales) that are commonly included in the family Leguminosae and that have pinnate leaves and small regular flowers in heads or spikes
mimosaceous,: a family of plants (order Rosales) that are commonly included in the family Leguminosae and that have pinnate leaves and small regular flowers in heads or spikes
mimotype,: a plant or animal resembling in many respects another from which it is systematically distinct and geographically isolated
mimotypic,: a plant or animal resembling in many respects another from which it is systematically distinct and geographically isolated
Mimulus,: a genus of American herbs (family Scrophulariaceae) having a tubular 5-angled calyx and an irregular 2-lipped corolla  � see monkey flower
Mimus,: a genus of birds containing the mockingbirds and being the type of the family Mimidae
Mimusops,": a genus of Old World tropical trees (family Sapotaceae) having abundant milky juice, coriaceous leaves, and small hexamerous or octamerous flowers with as many staminodia as stamens  � see bansalaguin, manilkara"
min,minim
Mina,: an ancient unit of weight and value equal to �/₆₀ talent
mina,: an ancient unit of weight and value equal to �/₆₀ talent
minable,: capable of being mined
minacious,: of a menacing or threatening character
Minaean,": of, relating to, or being an ancient kingdom of southwestern Arabia"
Minahassan,: an Indonesian people inhabiting the Minahasa Peninsula of northeast Sulawesi
minar,: a tower or turret found especially in India
minaret,: a tall slender tower of a mosque having one or more balconies from which the summons to prayer is cried by the muezzin
minareted,: having or characterized by minarets
minasragrite,: a hydrous acid vanadyl sulfate (VO)2H2(SO4)3.15H2O occurring as a blue efflorescent crust
minatory,: having a menacing quality
minaway,: minuet
mince,: to cut or chop into very small pieces
mincemeat,: minced meat
mincer,: to cut or chop into very small pieces
minchery,: nunnery
minchiate,: an early form of tarok
mincing,: affectedly dainty or delicate
mincingly,: affectedly dainty or delicate
Mincopi,:  andamanese
Mincopie,:  andamanese
mind,": recollection, memory"
minded,": inclined, disposed"
Mindel,: the second stage of glaciation in Europe during the Pleistocene
minder,": recollection, memory"
mindful,: bearing in mind : aware
mindfully,: bearing in mind : aware
mindfulness,: the quality or state of being mindful
minding,": recollection, memory"
mindless,: marked by a lack of mind or consciousness
mindlessly,: marked by a lack of mind or consciousness
mindlessness,: marked by a lack of mind or consciousness
mine,: my
mineowner,: a whole or part owner of a mine
miner,: my
mineragraphy,: the technique of studying polished surfaces of minerals with the reflecting microscope
mineral,: ore
mineralizable,: to transform (a metal) into an ore
mineralization,: to transform (a metal) into an ore
mineralize,: to transform (a metal) into an ore
mineralizer,: to transform (a metal) into an ore
mineralogical,": a science dealing with minerals, their crystallography, properties, classification, and the ways of distinguishing them"
mineralogically,": a science dealing with minerals, their crystallography, properties, classification, and the ways of distinguishing them"
mineralogist,": a science dealing with minerals, their crystallography, properties, classification, and the ways of distinguishing them"
mineralogy,": a science dealing with minerals, their crystallography, properties, classification, and the ways of distinguishing them"
Minerva,: the Roman goddess of wisdom  � compare athena
minery,: a place where mining is carried on
mines,: my
minette,: a dark igneous rock composed chiefly of biotite and orthoclase that occurs usually in narrow dikes and sheets and that constitutes one of the lamprophyres
mineworker,: a workman in a mine
Ming,: a Chinese dynasty dated 1368�1644 and marked by restoration of earlier traditions and in the arts by perfection of established techniques
ming,: a Chinese dynasty dated 1368�1644 and marked by restoration of earlier traditions and in the arts by perfection of established techniques
minge,: midge
mingle,: to bring or mix together or with something else usually without fundamental loss of identity : intermix
minglement,: the action or an instance of mingling
Mingo,:  iroquois
Mingrelian,: a people of the Kutais region of the Caucasus related to the Georgians whose physical beauty they share
mingy,": mean, stingy"
minhag,: Jewish religious custom
minhah,": a daily Jewish afternoon liturgy  � compare maarib, shaharith"
miniaceous,: of the color of minium or red lead
miniate,: to paint with red lead or vermilion
miniature,: a copy on a much reduced scale
miniaturist,: a copy on a much reduced scale
minibus,: a small bus or van
minicam,: a portable television camera
Miniconjou,: a people of the western plains constituting a division of the Teton Dakota
minification,: the action or process of minifying
minify,: lessen
minikin,: a small or dainty creature
minim,: half note
minima,": the least quantity assignable, admissible, or possible"
minimal,: relating to or being a minimum: such as
minimalism,": a style or technique (as in music, literature, or design) that is characterized by extreme spareness and simplicity"
Minimalist,: one who favors restricting the functions and powers of a political organization or the achievement of a set of goals to a minimum
minimally,: relating to or being a minimum: such as
minimization,: to reduce or keep to a minimum
minimize,: to reduce or keep to a minimum
minimizer,: to reduce or keep to a minimum
minimum,": the least quantity assignable, admissible, or possible"
minimus, � see gluteus minimus
mining,: the process or business of working mines
minion,": a servile dependent, follower, or underling"
minionette,: an old size of type of approximately 6 �/₂-point and between nonpareil and minion
minish,": to make less (as in size, amount, or degree) : make fewer in number : diminish in power or influence : lessen"
minister,: agent
ministerial,": of, relating to, or characteristic of a minister or the ministry"
ministerialist,: a supporter of the ministry in office
ministerially,": of, relating to, or characteristic of a minister or the ministry"
ministerium,: a body in the Lutheran Church:
ministership,: the office of minister
ministrable,: a recurrent member of successive ministries
ministrant,: performing service in attendance on someone
ministration,: the act or process of ministering
ministress,: a female minister
ministry,: ministration
minium,:  goya
miniver,: a white fur worn originally by medieval nobles and used chiefly for robes of state
minivet,: any of several cuckoo shrikes that belong to the Asiatic genus Pericrocotus and that are brilliantly colored with the males chiefly black and scarlet and the females usually gray and yellow
mink,: soft fur or pelt of the mink varying in color from white to dark brown
minkery,: a place where minks are bred usually for commercial purposes
minnesinger,: any of a class of German poets and musicians of the 12th to the 14th centuries
minnesong,: a song of a minnesinger
Minnesotan,river 332 miles (534 kilometers) long in the southern part of the state of Minnesota flowing from Big Stone Lake to the Mississippi River
Minnetaree,:  hidatsa
Minnie,: mother
minnie,: mother
minniebush,: a low shrub (Menziesia pilosa) of eastern North America with greenish purple flowers
minnow,": a small cyprinid, killifish, or topminnow"
minny,: minnow
mino,: myna
Minoan,: of or relating to a Bronze Age culture of Crete that flourished about 3000 b.c.�1100 b.c.
minometer,: an instrument for the detection and measurement of stray radiations from X-ray generators and radioactive materials
minor,": inferior in importance, size, or degree : comparatively unimportant"
minorate,: to make less in estimation or value : diminish
minoration,: diminution
Minorca,island of Spain in the Balearic Islands east-northeast of Majorca; chief city Mah�n
Minorcan,island of Spain in the Balearic Islands east-northeast of Majorca; chief city Mah�n
Minorite,: franciscan
minority,: the period before attainment of majority (see majority sense 2)
Minos,: a son of Zeus and Europa and king of Crete who for his just rule is made supreme judge in the underworld after his death
minot,George Richards 1885�1950 American physician
Minotaur,": a monster shaped half like a man and half like a bull, confined in the labyrinth built by Daedalus for Minos, and given a periodic tribute of youths and maidens as food until slain by Theseus"
minster,: a large or important church often having cathedral status
minsteryard,: the close of a cathedral or other minster
minstrel,: one of a class of medieval musical entertainers
minstrelsy,: the singing and playing of a minstrel
mint,": any of a family (Lamiaceae synonym Labiatae, the mint family) of aromatic plants with a square stem and a 4-lobed ovary which produces four one-seeded nutlets in fruit"
mintage,: the action or process of minting coins
mintbush,: any of several low shrubs of the genus Prostanthera and the family Labiatae having resinous opposite leaves and 2-lipped flowers
minter,": any of a family (Lamiaceae synonym Labiatae, the mint family) of aromatic plants with a square stem and a 4-lobed ovary which produces four one-seeded nutlets in fruit"
mintmaster,: the official in charge of a mint
minty,": any of a family (Lamiaceae synonym Labiatae, the mint family) of aromatic plants with a square stem and a 4-lobed ovary which produces four one-seeded nutlets in fruit"
minuend,: a number from which the subtrahend is to be subtracted
minuet,": a slow graceful dance in �/₄ time characterized by forward balancing, bowing, and toe pointing"
minus,: diminished by : less
minuscular,: minuscule sense 2
minuscule,: very small
minute,: the 60th part of an hour of time : 60 seconds
minutely,: into very small pieces
minuteman,: a member of a group of men pledged to take up arms at a minute's notice during and immediately before the American Revolution
minuteness,: the 60th part of an hour of time : 60 seconds
minuter,: the 60th part of an hour of time : 60 seconds
minutia,: a minute or minor detail
minutiae,: a minute or minor detail
minutial,: of or relating to or being minutiae
minutiose,: attentive to or dealing with minutiae
minx,: a pert girl
minxish,: resembling or having the character of a minx
miny,": of, resembling, or having the characteristics of a mine"
Minyadidae,: a family of pelagic sea anemones of southern oceans
Minyan,: the quorum required for Jewish communal worship that consists of ten male adults in Orthodox Judaism and usually ten adults of either sex in Conservative and Reform Judaism
minyan,: the quorum required for Jewish communal worship that consists of ten male adults in Orthodox Judaism and usually ten adults of either sex in Conservative and Reform Judaism
Miocene,": of, relating to, or being an epoch of the Tertiary between the Pliocene and the Oligocene or the corresponding series of rocks  � see Geologic Time Table"
Miohippus,: a genus of very small extinct horses from the Oligocene of North America
miolithic,:  mesolithic
miothermic,: relating to or characterized by temperature conditions on the earth that now prevail as opposed to warmer or colder periods
miqra,: the Hebrew text of the Bible
miquelet,: a Spanish or French irregular soldier during the Peninsular War
mir,: a village community in czarist Russia in which land was owned jointly but cultivated by individual families
Mira,: a variable binary star system that is seen in the constellation Cetus
Mirabel,"city in southern Quebec, Canada population 41,957"
Mirabilis,: a genus of American perennial herbs (family Nyctaginaceae) having a tubular-campanulate brightly colored calyx subtended by an involucre that resembles a calyx  � see four-o'clock
mirabilite,": a mineral Na2SO4.10H2O consisting of hydrous sodium sulfate occurring as a deposit from saline lakes, playas, and springs and as an efflorescence"
Mirach,: a red giant star of the second magnitude that is seen in the constellation Andromeda
mirach,: a red giant star of the second magnitude that is seen in the constellation Andromeda
miracidial,: the free-swimming ciliated first larva of a digenetic trematode that seeks out and penetrates a suitable snail intermediate host in which it develops into a sporocyst
miracidium,: the free-swimming ciliated first larva of a digenetic trematode that seeks out and penetrates a suitable snail intermediate host in which it develops into a sporocyst
miracle,: an extraordinary event manifesting divine intervention in human affairs
miraculist,: a maker of or believer in miracles
miraculize,: to cause to seem to be or to treat as a miracle
miraculous,: of the nature of a miracle : supernatural
miraculously,: of the nature of a miracle : supernatural
miraculousness,: of the nature of a miracle : supernatural
mirador,": a turret, window, or balcony designed to command an extensive outlook"
mirage,": an optical (see optical sense 2a) effect that is sometimes seen at sea, in the desert, or over a hot pavement, that may have the appearance of a pool of water or a mirror in which distant objects are seen inverted, and that is caused by the bending or reflection of rays of light by a layer of heated air of varying density"
Miranda,": of, relating to, or being the legal rights of an arrested person to have an attorney and to remain silent so as to avoid self-incrimination"
Miranha,: an Indian people of the Putumayo River region of Brazil and Colombia
mirate,: to feel or express surprise or admiration
mirbane,: nitrobenzene
mird,: to make amorous advances usually in a light or trifling manner
mire,: wet spongy earth (as of a bog or marsh)
mirepoix,": a saut�ed mixture of diced vegetables (such as carrots, celery, and onions), herbs, and sometimes ham or bacon used especially as a basis for soups, stews, and sauces"
Mirfak,: a yellow-white giant star of the second magnitude that is the brighest star in the constellation Perseus
mirid,: of or relating to the Miridae
Miridae,: a large family of small often brightly colored leaf bugs (order Hemiptera) which feed chiefly on the juices of plants
mirific,: working wonders : marvelous
miriness,: the quality or state of being miry
mirksome,: quite murky
mirliton,: the pear-shaped fruit of a West Indian annual vine (Sechium edule) of the gourd family that is widely cultivated as a vegetable : chayote
Miro, 1893�1983 Spanish painter
miro, 1893�1983 Spanish painter
Mirounga,: a genus of Phocidae consisting of the elephant seal
mirror,: a polished or smooth surface (as of glass) that forms images by reflection
mirrored,: a polished or smooth surface (as of glass) that forms images by reflection
mirrorlike,: a polished or smooth surface (as of glass) that forms images by reflection
mirrorscope,: an apparatus resembling a camera used in rapid field sketching or painting
mirrory,": of, relating to, or resembling a mirror"
mirth,: gladness or gaiety as shown by or accompanied with laughter
mirthful,: gladness or gaiety as shown by or accompanied with laughter
mirthfully,: gladness or gaiety as shown by or accompanied with laughter
mirthfulness,: gladness or gaiety as shown by or accompanied with laughter
mirthless,: containing no gaiety or joy
mirthlessly,: containing no gaiety or joy
mirthlessness,: containing no gaiety or joy
miry,: wet spongy earth (as of a bog or marsh)
mirza,: a common title of honor in Persia prefixed to the surname of a person of distinction
misact,: to act or behave in an improper or incorrect manner
misaddress,: to address (someone or something) incorrectly or improperly
misadjust,": to adjust (something, such as a device) incorrectly or improperly"
misadministration,": the act, process, or an instance of administering poorly or wrongly : mistaken or improper administration"
misadventure,": misfortune, mishap"
misadventurous,": unfortunate, unlucky"
misadvise,: to give wrong or poor advice to (someone)
misadvised,: to give wrong or poor advice to (someone)
misaim,: to aim poorly or incorrectly
misalignment,: the condition of being out of correct position or improperly adjusted : bad or incorrect alignment
misalliance,: an improper alliance
misally,: to ally wrongly or unsuitably
misandry,: a hatred of men
misanthrope,: a person who hates or distrusts humankind
misanthropic,": of, relating to, or characteristic of a misanthrope"
misanthropically,": of, relating to, or characteristic of a misanthrope"
misanthropism,: misanthropy
misanthropist,: misanthrope
misanthropize,: to hate mankind
misanthropy,: a hatred or distrust of humankind
misapplication,: the act or an instance of applying something incorrectly or improperly
misapplier,: one that misapplies
misapply,: to apply incorrectly or improperly
misappreciate,: to appreciate or estimate wrongly or improperly
misappreciation,: to appreciate or estimate wrongly or improperly
misapprehend,: to apprehend wrongly : misunderstand
misapprehendingly,: by misapprehension
misapprehension,: to apprehend wrongly : misunderstand
misapprehensive,: inclined to misapprehend
misapprehensively,: inclined to misapprehend
misapprehensiveness,: inclined to misapprehend
misappropriate,: to appropriate wrongly (as by theft or embezzlement)
misappropriation,: to appropriate wrongly (as by theft or embezzlement)
misarrangement,: a wrong or bad arrangement
misarray,: disarray
misascription,: a wrong ascription
misattribute,": to incorrectly indicate the cause, origin, or creator of (something) : to attribute wrongly"
misattribution,: an incorrect attribution (as for a piece of artwork)
misbecome,: to be inappropriate or unbecoming to
misbecoming,: to be inappropriate or unbecoming to
misbeget,: to beget wrongly or unlawfully
misbegotten,: unlawfully conceived : born to parents not married to each other
misbehave,: to conduct (oneself) badly or improperly
misbehavior,": bad, improper, or rude behavior : ill conduct"
misbeholden,": unbecoming, disobliging, offensive"
misbelief,: erroneous or false belief : heresy
misbelieve,: to hold a false or unorthodox belief
misbeliever,": heretic, infidel"
misbeseem,: misbecome
misbestow,: to bestow wrongly
misbirth,: abortion
misbrand,: to brand falsely or in a misleading way
miscalculate,: to calculate wrongly : to make a miscalculation
miscalculation,: a mistake in calculation : wrong calculation
miscalculator,: one that miscalculates
miscall,: to call by a wrong name : misname
miscarriage,: corrupt or incompetent management
miscarry,: to come to harm
miscast,: to cast in an unsuitable role
miscegenation,: a mixture of races
miscellanea,: a collection of miscellaneous (see miscellaneous sense 1) objects or writings
miscellaneity,: the quality or state of being miscellaneous
miscellaneous,: consisting of diverse things or members : heterogeneous
miscellaneously,: consisting of diverse things or members : heterogeneous
miscellaneousness,: consisting of diverse things or members : heterogeneous
miscellanist,: a writer of miscellanies
miscellany,: separate writings collected in one volume
mischance,: bad luck
mischanceful,: unlucky
mischancy,": risky, unlucky"
mischaracterization,: the act or an instance of characterizing someone or something wrongly
mischaracterize,: to characterize (someone or something) wrongly
mischarge,: to charge an incorrect amount of money to (someone)
mischief,: a specific injury or damage attributed to a particular agent
mischiefful,: mischievous
mischieve,: mischief
mischievous,": harmful, injurious"
mischievously,": harmful, injurious"
mischievousness,": harmful, injurious"
mischoice,: a wrong or improper choice
mischoose,: to choose wrongly
miscibility,: capable of being mixed
miscible,: capable of being mixed
misclassification,: an act or instance of wrongly assigning someone or something to a group or category : incorrect classification
misclassify,: to assign (someone or something) to an incorrect group or category : to classify wrongly
miscolor,: to give a wrong color to : misrepresent
miscomprehend,: to get a wrong idea of or about : misunderstand
miscomprehension,": a failure to grasp the nature, significance, or meaning of something : a failure to comprehend : misinterpretation"
miscomputation,: to make a mistake in computing : to compute wrongly
miscompute,: to make a mistake in computing : to compute wrongly
misconceive,: to form a wrong idea of (something) : misunderstand
misconceiver,: to form a wrong idea of (something) : misunderstand
misconception,: a wrong or inaccurate idea or conception
misconduct,: mismanagement especially of governmental or military responsibilities
misconstruct,: misconstrue
misconstruction,": a wrong interpretation (as of words, intentions, or actions) : an act or instance of misconstruing something"
misconstrue,": to interpret (something, such as a statement or action) wrongly : misinterpret"
miscook,: to ruin in cooking
miscorrect,: to make a mistake in an attempt to correct
miscounsel,: to advise wrongly
miscount,: to make a mistake in counting (something) : to count (something) incorrectly
miscreancy,: misbelief
miscreant,": unbelieving, heretical"
miscreate,: to create (something) badly or wrongly
miscreation,: bad or wrong creation : the action or result of miscreating something or someone
miscreative,: creating or shaping badly
miscreator,: one that miscreates
miscreed,: a false creed
miscue,: a faulty stroke in billiards in which the cue slips
miscut,: badly or wrongly cut
misdate,: to date (something) wrongly: such as
misdeal,: to deal cards incorrectly
misdeed,: a wrong deed : offense
misdeem,: to be mistaken : hold a wrong opinion
misdefine,": to incorrectly identify or set forth the meaning of (something, such as a word) : to define wrongly"
misdeliver,: to deliver (something) to the wrong person or address
misdelivery,: to deliver (something) to the wrong person or address
misdemean,: to behave (oneself) badly
misdemeanant,: a person convicted of a misdemeanor
misdemeanor,: a crime less serious than a felony (see felony sense 2)
misdescribe,: to describe (something) wrongly
misdescription,: a wrong or inaccurate description
misdescriptive,: serving to describe incorrectly
misdirect,: to give a wrong direction to
misdirection,: a wrong direction
misdistribution,": the act, action, or result of inequitable, inefficient, or unfair distribution"
misdivision,: improper or incorrect division
misdo,: to act wrongly : transgress the laws of God
misdoer,: to act wrongly : transgress the laws of God
misdoing,: the act or an instance of misbehaving : misconduct
misdoubt,: doubt
misdraw,: to draw (something) incorrectly
mise,: the issue in a legal proceeding upon a writ of right
misease,": lack of ease : discomfort, distress"
miseducate,": to educate (someone) in a poor, improper, or harmful manner"
miseducation,": poor, wrong, or harmful education"
misemphasis,: misplaced emphasis
misemphasize,: to give a misplaced or wrong emphasis to (something)
misemploy,: to use (something) in a wrong or harmful way
misemployment,: to use (something) in a wrong or harmful way
misenite,: a mineral K8H6(SO4)7 consisting of a native acid potassium sulfate
miser,: a mean grasping person
miserabilism,: a philosophy of pessimism
miserable,: being in a pitiable state of distress or unhappiness (as from want or shame)
miserableness,: being in a pitiable state of distress or unhappiness (as from want or shame)
miserably,: being in a pitiable state of distress or unhappiness (as from want or shame)
Miserere,: the 50th Psalm in the Vulgate
misericord,: a small projection on the bottom of a hinged church seat that gives support to a standing worshipper when the seat is turned up
Misericordia,: amercement
miserliness,": of, relating to, or characteristic of a miser"
miserly,": of, relating to, or characteristic of a miser"
misery,: a state of suffering and want that is the result of poverty or affliction
misesteem,: to esteem wrongly
misestimate,: to estimate (something) wrongly
misestimation,: to estimate (something) wrongly
misexplain,: to explain badly or incorrectly
misfeasance,: trespass
misfeasor,: trespass
misfeature,: a bad or distorted feature
misfield,: to field (a ball) badly
misfile,": to file (something, such as a document) in the wrong place"
misfire,: to have the explosive or propulsive charge fail to ignite at the proper time
misfit,: something that fits badly
misfortunate,: unfortunate
misfortunately,: unfortunate
misfortune,: an event or conjunction of events that causes an unfortunate or distressing result : bad luck
misfortuned,: unfortunate
misgauge,: to gauge wrongly : misjudge
misgive,: to suggest doubt or fear to
misgiving,: a feeling of doubt or suspicion especially concerning a future event
misgivingly,: in a misgiving manner
misgo,: to take the wrong route : go astray in conduct or action : go wrong : miscarry
misgotten,: ill-gotten
misgovern,": to rule or govern in a corrupt, wrong, or incompetent way"
misgovernance,: misconduct
misgovernment,: bad or corrupt government
misgovernor,: one who governs badly : an inept or corrupt ruler
misgrowth,: distorted or abnormal growth
misguggle,": to handle roughly or clumsily : maul, mar, bungle"
misguidance,: misdirection
misguide,: to lead astray : misdirect
misguided,: led or prompted by wrong or inappropriate motives or ideals
misguidedly,: led or prompted by wrong or inappropriate motives or ideals
misguidedness,: led or prompted by wrong or inappropriate motives or ideals
misguider,: to lead astray : misdirect
misguiding,: to lead astray : misdirect
mishandle,: to treat roughly : maltreat
mishap,: an unfortunate accident
mishmash,": hodgepodge, jumble"
Mishmi,: a tribal people mostly of the northeast India
Mishnah,: the collection of mostly halachic Jewish traditions compiled about a.d. 200 and made the basic part of the Talmud
Mishnaic,: the collection of mostly halachic Jewish traditions compiled about a.d. 200 and made the basic part of the Talmud
Mishongnovi,: a Shoshonean people of Arizona
misidentification,: incorrect or false identification
misidentify,: to identify (someone or something) incorrectly
misimpression,: a mistaken impression
misimprove,: to use wrongly : make an improper use of : abuse
misimprovement,: to use wrongly : make an improper use of : abuse
misinform,: to give incorrect or misleading information to (someone) : to inform (someone) wrongly
misinformation,: incorrect or misleading information
misintelligence,: a mistaken impression : misunderstanding
misinterpret,: to explain wrongly
misinterpretable,: capable of being misinterpreted
misinterpretation,: failure to understand or interpret something correctly
misjoinder,: an improper union of parties or of causes of action in a single legal proceeding
misjudge,: to be mistaken in judgment
misjudgingly,: in a misjudging manner : so as to make a misjudgment
misjudgment,: to be mistaken in judgment
misken,: to have incorrect ideas about : misunderstand
miskenning,: a mistake or variance in pleading or argument in court
misknow,: misunderstand
misknowledge,: misunderstand
misky,": misty, foggy"
mislabel,: to label (something) incorrectly or falsely
mislay,: to put in an unremembered place : lose
mislead,: to lead in a wrong direction or into a mistaken action or belief often by deliberate deceit
misleader,: to lead in a wrong direction or into a mistaken action or belief often by deliberate deceit
misleading,: to lead in a wrong direction or into a mistaken action or belief often by deliberate deceit
misleadingly,: to lead in a wrong direction or into a mistaken action or belief often by deliberate deceit
mislear,: mislead
misleared,": unmannerly, ill-bred"
mislearn,: to learn incorrectly : to acquire incorrect knowledge
misled,: to lead in a wrong direction or into a mistaken action or belief often by deliberate deceit
mislest,: molest
mislike,: displease
mislippen,": deceive, disappoint"
mislocate,: to incorrectly determine or indicate the location of (someone or something)
mislocation,: improper or inaccurate location
mismade,: badly or improperly made
mismanage,: to manage (something) wrongly or poorly
mismanagement,: to manage (something) wrongly or poorly
mismarriage,: an unsuitable marriage or union
mismatch,: a faulty or unsuitable match
mismate,: to mate wrongly or unsuitably
