word,meaning
affectionate,: feeling or showing affection or warm regard : loving
affectionately,: feeling or showing affection or warm regard : loving
affectioned,": having a tendency, disposition, or inclination : disposed"
affective,": relating to, arising from, or influencing feelings or emotions : emotional"
affectively,": relating to, arising from, or influencing feelings or emotions : emotional"
affectivity,": relating to, arising from, or influencing feelings or emotions : emotional"
affeer,: to fix the amount of (an amercement) : assess
affeerer,: one that affeers
affeerment,: the act of affeering
affenpinscher,": any of a breed of toy dogs with a wiry black, red, tan, or gray coat, erect ears, large round eyes, and bushy eyebrows, chin tuft, and mustache"
afferent,: bearing or conducting inward
affettuoso,: tender or affecting
affiance,": trust, confidence"
affiant,: one who swears to an affidavit
affidavit,: a sworn statement in writing made especially under oath or on affirmation (see affirmation sense 2) before an authorized magistrate or officer
affidavy,: affidavit
affiliate,: to bring or receive into close connection as a member or branch
affiliation,": the state or relation of being closely associated or affiliated with a particular person, group, party, company, etc."
affinal,: a relative by marriage : in-law
affination,: the treatment of raw sugar crystals with a heavy syrup to remove the film of adhering molasses
affine,: a relative by marriage : in-law
affined,: joined in a close relationship : connected
affinely,: a relative by marriage : in-law
affinitive,: closely related
affinity,: relationship by marriage
affirm,": validate, confirm"
affirmable,": validate, confirm"
affirmance,": validate, confirm"
affirmation,: the act of affirming
affirmative,: asserting that the fact is so
affirmatively,: asserting that the fact is so
affirmatory,: giving affirmation
affix,: to attach physically
affixal,: to attach physically
affixation,: to attach physically
affixion,: the act of affixing : the state of being affixed
affixture,: state of being affixed
afflation,: a breathing into : inspiration
afflatus,: a divine imparting of knowledge or power : inspiration
afflict,: to cause pain or suffering to : to distress so severely as to cause persistent suffering or anguish
afflicted,: grievously affected or troubled (as by a disease) : mentally or physically impaired
afflictedness,: affliction
afflicting,: to cause pain or suffering to : to distress so severely as to cause persistent suffering or anguish
affliction,: a cause of persistent pain or distress
afflictive,": causing affliction : distressing, troublesome"
afflictively,": causing affliction : distressing, troublesome"
affluence,: abundance of property : wealth
affluent,: having an abundance of goods or riches : wealthy
affluently,: having an abundance of goods or riches : wealthy
afflux,: a flowing especially of a bodily fluid to or toward a bodily part
affluxion,:  afflux
afforce,: to strengthen (as a court or jury) by adding specially qualified members
afforcement,: an afforcing (as of a court or jury)
afford,: to manage to bear without serious detriment
affordable,: able to be afforded : having a cost that is not too high
afforest,: the act or process of establishing a forest especially on land not previously forested
afforestation,: the act or process of establishing a forest especially on land not previously forested
afformative,: suffix sense 1
affranchise,: enfranchise sense 1
affranchisement,: enfranchise sense 1
affray,": fray, brawl"
affreight,: to hire or charter (a ship) for the transportation of goods or freight
affreighter,: to hire or charter (a ship) for the transportation of goods or freight
affreightment,: a mercantile lease of a vessel under which it remains in charge of the owners
affricate,: a stop and its immediately following release into a fricative that are considered to constitute a single phoneme (such as the \t\ and \sh\ of \ch\ in choose)
affricated,: changed in character from a simple stop into an affricate
affrication,: conversion (of a simple stop sound) into an affricate
affricative,: a stop and its immediately following release into a fricative that are considered to constitute a single phoneme (such as the \t\ and \sh\ of \ch\ in choose)
affright,": frighten, alarm"
affrighted,": frighten, alarm"
affrightful,: frightful
affrightfully,: frightful
affrightment,: the act of affrighting : the state of being affrighted
affront,: to insult especially to the face by behavior or language
affronte,": facing each other  � compare combatant, respectant"
affronted,: feeling or showing anger or indignation at some offense or insult
affrontedly,: impudently
affronting,: to insult especially to the face by behavior or language
affrontive,: offensive
affuse,: pour
affusion,: an act of pouring a liquid on something or someone (as in baptism)
affy,": confide, trust"
Afghan,: pashtun
afghani,: the basic monetary unit of Afghanistan  � see Money Table
afield,": to, in, or on the field"
afikomen,: a piece broken from the middle one of the three matzoth used by Jews at the Passover Seder service and set aside to be eaten at the end of the meal
afire,: being on fire : blazing
aflagellar,: without a flagellum
aflame,: afire
aflare,": flaring, flaming"
aflat,: the note a semitone below A
aflicker,: flickering
afloat,: borne on or as if on the water
aflow,: flowing
aflower,: flowering
aflush,: fully or generously supplied with something : flush
aflutter,: being in a flutter : fluttering
afoam,: foaming
afoot,: on foot
afore,: before
aforehand,: beforehand
aforesaid,: said or named before or above
aforethought,": previously in mind : premeditated, deliberate"
aforetime,: formerly
afortiori,: with greater reason or more convincing force
afoul,": fouled, tangled"
afraid,: filled with fear or apprehension
Afrasian,: of or belonging to both Africa and Asia
afreet,": a powerful evil jinni, demon, or monstrous giant in Arabic mythology"
afresh,": from a fresh beginning : anew, again"
Afric,:  african
African,: a native or inhabitant of Africa
Africana,": materials (such as books, documents, or artifacts) relating to African history and culture"
Africanism,: a characteristic feature of African culture
Africanist,: a specialist in African languages or cultures
Africanization,: to cause to acquire a distinctively African trait
Africanize,: to cause to acquire a distinctively African trait
Africanoid,: resembling or having characteristics of the peoples of Africa or their artifacts or cultures
Africanthropus,: a genus of extinct Pleistocene hominids known from several skull fragments found near Lake Eyasi in Tanzania and now typically regarded as an early type of Homo sapiens
Afridi,: a Pashtun tribe occupying the hilly country about the Khyber Pass and found on both sides of the frontier between Pakistan and eastern Afghanistan
Afrikaans,: a language developed from 17th century Dutch that is one of the official languages of the Republic of South Africa
Afrikander,: any of a breed of tall red large-horned humped southern African cattle used chiefly for meat or draft
Afrikanderism,": the principles, policies, or practices of Afrikaners"
Afrikaner,: a South African of European descent whose native language is Afrikaans
Afrogaean,:  ethiopian
afront,: abreast
Afshar,:  aissor
aft,": near, toward, or in the stern of a ship or the tail of an aircraft"
after,": following in time or place : afterward, behind, later"
afterbeat,: a musical note or tone falling on a weak beat or on a weak portion of a beat
afterbirth,: the placenta and fetal membranes that are expelled after delivery
afterblow,: the continuation of the blow after the complete oxidation of the carbon in the Bessemer process in order to oxidize and separate the phosphorus
afterbody,: the after part of a body: such as
afterbrain,: the posterior subdivision of the hindbrain : myelencephalon
afterburner,: a device incorporated into the tailpipe of a turbojet engine for injecting fuel into the hot exhaust gases and burning it to provide extra thrust
afterburning,: the combustion that proceeds in an internal-combustion engine after the maximum pressure of explosion has occurred
aftercare,": the care, treatment, help, or supervision given to persons discharged from an institution (such as a hospital)"
aftercataract,: a clouding of the lens capsule (as from the deposit of fibrous matter or overgrowth of epithelial cells) that sometimes occurs following an operation for cataract removal
afterchrome,: relating to a method of dyeing (as wool) by applying a chromium mordant after a dye : topchrome
afterclap,: an unexpected damaging or unsettling event following a supposedly closed affair
aftercooler,: an apparatus for cooling the discharge air from air compressors in order to remove its condensed moisture
aftercrop,: a later crop of the same year from the same soil
afterdamp,": a toxic gas mixture remaining after an explosion of firedamp in mines and consisting principally of carbon dioxide, carbon monoxide, and nitrogen"
afterdays,: a later day or period
afterdeck,: the part of a deck abaft amidships
afterdinner,: afternoon
aftereffect,: an effect that follows its cause after an interval
afterfeed,: aftergrass used for grazing
aftergame,: a subsequent scheme or expedient undertaken to afford a chance of retrieval or improvement
afterglow,: a glow remaining where a light has disappeared
aftergrass,: grass that grows after the first hay crop has been cut or among the stubble after harvest
aftergrowth,: a second growth or crop
afterguard,: the sailors stationed on the poop or after part of a ship
afterhend,: afterward
afterhours,: engaged in or operating after a legal or conventional closing time
afterimage,: a usually visual sensation occurring after stimulation by its external cause has ceased
afterimpression,: afterimage
afterings,: stripping sense 2a
afterlife,: an existence after death
afterlifetime,: duration of life of an insured person subsequent to a specified age
afterlight,": afterglow, twilight"
aftermast,: the mast nearest the stern
aftermath,: a second-growth crop
aftermost,: farthest aft
afternight,: evening
afternoon,: the part of day between noon and sunset
afternoons,: in the afternoon repeatedly : on any afternoon
afternote,: a note that appears after the main body of a text
afterpain,: pain that follows its cause only after a distinct interval
afterpart,: the stern area of a ship
afterpeak,: the extreme after compartment in a ship's hold where the ship narrows toward the sternpost
afterpiece,: a short usually comic entertainment performed after a play
afterplay,: intimate activity that takes place following sexual intercourse
afterpressure,: aftertouch
afterripening,": a complex enzymatic process occurring in seeds, bulbs, tubers, and fruits after harvesting and often necessary for subsequent germination or palatable consumption"
afterschool,: happening or done after the end of the school day
aftersensation,: a sensation occurring after stimulation by its external cause has ceased
aftershaft,: an accessory plume arising from the posterior side of the stem of the feathers of many birds
aftershafted,: an accessory plume arising from the posterior side of the stem of the feathers of many birds
aftershock,: an aftereffect of a distressing or traumatic event
afterswarm,: a swarm of honeybees that leaves a hive after the prime or first swarm
aftertaste,: persistence of a sensation (as of flavor or an emotion) after the stimulating agent or experience has gone
afterthought,: an idea occurring later
aftertime,: future
aftertimes,: future
aftertouch,: the sensation of pressure persisting for a time after actual pressure has ceased
aftertreatment,: a secondary treatment to which a material (as film or dyed goods) is subjected after the primary treatment is finished
afterturn,: the twist of the strands composing a rope  � compare foreturn
aftervision,: afterimage
afterwale,: the body or pad of a horse collar that rests on the horse's shoulders
afterwar,: postwar
afterward,": at a later or succeeding time : subsequently, thereafter"
afterwards,": at a later or succeeding time : subsequently, thereafter"
afterwash,: backwash sense 2
afterwhile,: after a while : by and by : later on
afterwisdom,: wisdom after the event : wisdom arrived at when it is too late
afterwit,: later knowledge
afterwork,: elastic afterwork
afterworking,: elastic afterwork
afterworld,: a future world : a world after death
aftmost,": closest to the rear of a ship, aircraft, etc. : furthest aft"
Aftonian,: belonging to the first interglacial interval during the glacial epoch in North America
aftosa,: foot-and-mouth disease
afunction,: the limit if it exists of the quotient of an increment of a dependent variable to the corresponding increment of an associated independent variable as the latter increment tends to zero without being zero
afunctional,: lacking a normal function
afwillite,: a mineral Ca3Si2O4(OH)6 consisting of a hydrous calcium silicate and occurring in colorless monoclinic crystals (specific gravity 2.6)
aga,: a man of authority who bears a title of respect: such as
Agade,the northern division of ancient Babylonia
again,: in return : back
against,: in opposition or hostility to
agal,: a cord usually of goat's hair that Arabs (as the Bedouins) wind around their heads to hold down the kerchieflike headdress
agalactia,: the failure of the secretion of milk from any cause other than the normal ending of the lactation period
agalactic,: the failure of the secretion of milk from any cause other than the normal ending of the lactation period
agalawood,: agarwood
agalaxia,:  agalactia
agalaxy,:  agalactia
Agalena,: a genus (the type of the family Agalenidae) of spiders that spin concave webs ending in a funnel-shaped tube where the spider hides  � see grass spider
Agalinis,: a genus of flaxlike American herbs (family Scrophulariaceae) with opposite sessile leaves and irregular tubular mostly purple flowers
agalite,: a fine fibrous variety of talc
agalloch,: agarwood
agallochum,: agarwood
agallop,: at a gallop
agalma,: memorial
agalmatolite,": a soft compact stone of a grayish, greenish, or yellowish color, sometimes stained, carved into images or miniature pagodas by the Chinese"
agalwood,: agarwood
Agama,: a genus (the type of the family Agamidae) of Old World terrestrial lizards including many that are of bright and changeable colors
agama,: a genus (the type of the family Agamidae) of Old World terrestrial lizards including many that are of bright and changeable colors
Agamemnon,: a king of Mycenae and leader of the Greeks in the Trojan War
agamete,: an asexual reproductive cell (as a spore or a merozoite)
agamic,": asexual, parthenogenetic"
agamically,": asexual, parthenogenetic"
agamid,: of or relating to the Agamidae
Agamidae,": a widely distributed family of Old World lizards related to the New World iguanas but distinguished by acrodont dentition and including arboreal, terrestrial, and semiaquatic forms most of which are insectivorous (as the frilled lizard, the flying dragon, and the Australian moloch)"
agamogenesis,: parthenogenesis
agamogenetic,: parthenogenesis
agamogenetically,: parthenogenesis
agamogony,: asexual reproduction
agamoid,: of or resembling Agama or lizards of this genus
agamont,: schizont
agamospore,: an asexual spore
agamous,: of or relating to agamy
agamy,": absence, nonregulation, or nonrecognition of marriage"
aganglionic,: lacking ganglia
Agapanthus,": any of several African plants (genus Agapanthus) of the lily family cultivated for their umbels of showy blue, purple, or white flowers"
agape,: wide open : gaping
Agapemone,: a free-love institution
agapetae,: women of the early church who lived under a vow of chastity in the same house with men bound to strict celibacy
agapeti,: Christian monks of the early church who lived under vows of celibacy in the same house with nuns
Agapornis,: a genus of small short-tailed African parrots  � see lovebird
agar,": a gelatinous colloidal extract of a red alga (as of the genera Gelidium, Gracilaria, and Eucheuma) used especially in culture media or as a gelling and stabilizing agent in foods"
agaric,: the dried fruiting body of a fungus (Fomes officinalis synonym Polyporus officinalis) formerly used in medicine
agaricaceae,: a large family of fungi (order Agaricales) that contains the genera Agaricus and Amanita and includes many familiar mushrooms with the sporophore usually consisting of a central stalk and a cap like an umbrella on the lower surface of which are numerous lamellae bearing the hymenium
Agaricales,": an extensive order of basidiomycetous fungi that includes the typical gilled mushrooms and a number of related forms all having the basidia produced in a distinct hymenial fruiting layer usually spread over the surface of a definite but transitory fruiting body which may be flat or be supinate, simply or compoundly club-shaped, or with the surface increased by pores, gills, or spines"
agariciform,: having the form of an agaric
agaricin,: an impure form of the active principle of medicinal agaric
agaricine,: choline
agaricoid,: resembling an agaric
Agaricus,": a genus that is the type of the family Agaricaceae, comprises fungi with gills and brown spores, and includes several (as the meadow mushroom) that are edible"
Agaristidae,: a family of mostly diurnal and brightly colored moths having the antennae thickened toward the tip and including the Australian whistling moths  � see forester
agarita,": a shrub (Mahonia trifoliata) of Texas, New Mexico, and adjacent Mexico that yields a yellow dye, a tanning extract, and an ink and produces a bright red berry that is used to make jelly  � compare oregon grape"
Agarum,": a genus of kelps (family Laminariaceae) inhabiting the colder oceans and having a branched holdfast, a brief stipe, and a lamina with smooth perforated margins"
agarwal,: a mercantile caste of central India
Agastache,: a genus of North American herbs (family Labiatae) having opposite toothed leaves and dense terminal spikes of 2-lipped flowers  � see giant hyssop
agastric,: lacking a stomach or distinct digestive canal
agate,": a fine-grained variegated chalcedony having its colors arranged in stripes, blended in clouds, or showing mosslike forms"
agateware,: an enameled iron or steel ware for household utensils
Agathaumas,: a genus of herbivorous dinosaurs related to and possibly not distinct from Triceratops
agathin,: a yellow crystalline compound formerly used to relieve neuralgia and rheumatism
Agathis,: a small genus of evergreen trees (family Araucariaceae) chiefly of Australasia and the Philippines that are distinguished from members of the genus Araucaria by having larger leaves with flat stalks and the seed free from the cone scale and are valued for their wood and fragrant resins
agathism,: the doctrine that all things tend toward ultimate good  � compare optimism
agathist,: an adherent of agathism
agathodaemon,: a good genius or beneficent divinity
agathokakological,: composed of both good and evil
agathology,: the science or doctrine of the good
Agathosma,: a genus of southern African shrubs (family Rutaceae) having heathlike foliage from which a sulfur-containing oil used in folk medicine is obtained and numerous small flowers in dense heads
agatiferous,: bearing agate
agatiform,: like agate in form
agatine,": of, relating to, or resembling agate"
agatize,: to change into agate or give the appearance of agate to
agaty,: resembling or containing agate
Agau,: a Cushitic-speaking people of the northern highlands of Ethiopia
Agave,": any of a genus (Agave of the family Agavaceae, the agave family) of plants having spiny-margined leaves and flowers in tall spreading panicles and including some cultivated for their fiber or sap or for ornament"
agavose,: a sugar C12H22O11 obtained from the stalks of the century plant
Agawam,"city in southwestern Massachusetts on the border with Connecticut population 28,438"
Agaz,: an Indian people formerly living in southern Paraguay
agaze,: engaged in the act of gazing
agazed,: struck with astonishment : amazed
age,": the time of life at which some particular qualification, power, or capacity arises or rests"
aged,: grown old: such as
agedness,: grown old: such as
agee,James 1909�1955 American author
