word,meaning
fouling,": deposit, incrustation"
foully,: offensive to the senses : loathsome
foulmouthed,": given to the use of obscene, profane, or abusive language"
foulness,: offensive to the senses : loathsome
foulsome,": disgusting, fulsome"
foumart,: the European polecat
found,": having all usual, standard, or reasonably expected equipment"
foundation,: the act of founding
foundational,": of, relating to, or forming or serving as a base or foundation : fundamental"
foundationally,": of, relating to, or forming or serving as a base or foundation : fundamental"
foundationary,: of or relating to a foundation
foundationer,: one who derives support from the funds or foundation of a college or school
foundationless,: the act of founding
founder,: one that founds or establishes
founderous,": likely to cause one to founder : miry, swampy"
founding,": having all usual, standard, or reasonably expected equipment"
foundling,: an infant found after its unknown parents have abandoned it
foundress,: a female founder
foundry,: an establishment where founding is carried on
foundryman,: a foundry worker
fount,": fountain, source"
fountain,: the source from which something proceeds or is supplied
fountained,: the source from which something proceeds or is supplied
fountaineer,: one in charge of a fountain
fountainhead,: a spring that is the source of a stream
fountainless,: being without sources of water
fountainous,": of, relating to, or having the characteristics of a fountain"
fountful,: full of springs or fountains
Fouquieria,: a small genus of scarlet-flowered shrubs or low trees (family Fouquieriaceae) with brittle wood and spiny stems that are leafless for most of the season  � see ocotillo
Fouquieriaceae,: a small family of spiny shrubs of trees (order Parietales) of southwestern North America
four,: a number that is one more than three  � see Table of Numbers
fourble,": quadruple, fourfold"
fourche,river in northeastern Wyoming and western South Dakota flowing northeast and east into the Cheyenne River
fourchee,: having the end of each arm forked  � see cross illustration
fourchette,: a small fold of membrane connecting the labia minora in the posterior part of the vulva
fourflusher,: to bluff in poker holding a four flush
fourfold,: being four times as great or as many
Fourierism,: a system for reorganizing society into cooperative communities of small self-sustaining groups
Fourierist,: a system for reorganizing society into cooperative communities of small self-sustaining groups
Fourieristic,": of, relating to, or resembling Fourierism"
fourling,: a twin crystal consisting of four individuals
fourpence,: the sum of four pennies
fourpenny,": amounting to, worth, or costing fourpence"
fourpounder,: a gun throwing a 4-pound projectile
fourrier,": one that goes before : forerunner, precursor"
fourscore,: being four times twenty : eighty
foursome,: a group of four persons or things : quartet
foursquare,: square
foursquareness,: lack of refinement : bluntness
fourstrand,: having four strands
fourteen,: a number that is one more than 13  � see Table of Numbers
fourteener,: a verse consisting of 14 syllables or especially of 7 iambic feet
fourteenth,: a number that is one more than 13  � see Table of Numbers
fourth,: one that is number four in a series  � see Table of Numbers
fourthly,: one that is number four in a series  � see Table of Numbers
fouter,: something of little value : fig
fouth,": abundance, plenty"
fovea,: a small fossa
foveal,: a small fossa
foveate,: a small fossa
foveation,: the state of being pitted
foveiform,: like a fovea
foveola,: a small pit
foveolarious,: foveate
foveolate,: having small pits : foveate
foveole,:  foveola
foveolet,:  foveola
fow,first open water
fowl,": a bird of any kind  � compare waterfowl, wildfowl"
fowler,: a person who hunts wildfowl
fowlerite,: a mineral consisting of a zinc-bearing rhodonite
fowling,": a bird of any kind  � compare waterfowl, wildfowl"
fox,": any of various carnivorous (see carnivorous sense 1) mammals (especially genus Vulpes) of the dog family related to but smaller than wolves with shorter legs, more pointed muzzle, large erect ears, and long bushy tail"
foxbane,: a wolfsbane (Aconitum lycoctonum)
foxberry,: a bearberry (Arctostaphylos uva-ursi)
foxer,: a worker who foxes shoes or rubbers
foxfeet,: fir club moss
foxfish,: the European dragonet
foxglove,: any of a genus (Digitalis) of erect herbs of the snapdragon family
foxhole,: a pit dug usually hastily for individual cover from enemy fire
foxhound,": any of various large swift powerful hounds of great endurance used in hunting foxes and developed to form several breeds and many distinctive strains  � compare american foxhound, english foxhound"
foxily,: resembling or suggestive of a fox
foxiness,: resembling or suggestive of a fox
foxing,: brownish spots on old paper
foxtail,: the tail of a fox
foxy,: resembling or suggestive of a fox
foy,: a farewell feast or gift
foyaite,: a coarse-grained hornblende-nepheline-syenite rock
foyaitic,: a coarse-grained hornblende-nepheline-syenite rock
foyboat,: a pilot boat used in and about the river Tyne
foyer,: an anteroom or lobby especially of a theater
foziness,: the quality or state of being fozy:
fozy,: spongy and light-textured : overgrown
frabjous,: wonderful
frabjously,: wonderful
fracas,: a noisy quarrel : brawl
frack,: the injection of fluid into shale beds at high pressure in order to free up petroleum resources (such as oil or natural gas)
fracted,: broken
fraction,": a numerical representation (such as �/₄, ⁵/₈, or 3.234) indicating the quotient of two numbers"
fractional,": of, relating to, or being a fraction"
fractionalism,: the state of consisting of separate usually nonhomogeneous or inharmonious units
fractionalize,: to break up into parts or sections
fractionally,": of, relating to, or being a fraction"
fractionary,: fractional
fractionate,: to separate (a mixture) into different portions especially by a fractional process
fractionating,: to separate (a mixture) into different portions especially by a fractional process
fractionation,: to separate (a mixture) into different portions especially by a fractional process
fractionator,: to separate (a mixture) into different portions especially by a fractional process
fractionize,: fractionate sense 1b
fractious,: tending to be troublesome : unruly
fractiously,: tending to be troublesome : unruly
fractiousness,: tending to be troublesome : unruly
fracturable,: capable of being fractured : breakable
fractural,": of, relating to, being, or due to fracture"
fracture,: the result of fracturing : break
frae,: from
Fragaria,": a small genus of low perennial herbs (family Rosaceae) that comprise the strawberries, have trifoliate leaves, cymose white flowers, and long slender runners, and are represented in cultivation mainly by horticultural forms derived from several wild species (as F. vesca, F. virginiana, F. chiloensis, F. moschata) and including many hybrids of these  � see chilean strawberry , strawberry, wood strawberry"
Fragilaria,: a genus (the type of the family Fragilariaceae of the order Pennales) of rectangular diatoms forming irregular colonies
fragile,: easily broken or destroyed
fragilely,: in a fragile manner
fragility,: easily broken or destroyed
fragment,": a part broken off, detached, or incomplete"
fragmental,: fragmentary
fragmentally,: fragmentary
fragmentarily,: consisting of fragments : incomplete
fragmentariness,: consisting of fragments : incomplete
fragmentary,: consisting of fragments : incomplete
fragmentation,: the act or process of fragmenting or making fragmentary
fragmented,: broken or separated into distinct parts
fragmentist,: a writer of literary fragment
fragmentize,: fragment
fragrance,": a sweet or delicate odor (as of fresh flowers, pine trees, or perfume)"
fragrancy,: fragrance
fragrant,: having a sweet or pleasant smell
fragrantly,: having a sweet or pleasant smell
fraid,: afraid
fraik,: freak entry 1
frail,: easily led into evil
frailejon,: any of several xerophytic plants of the genus Espeletia (family Compositae) of the higher Andes (especially E. grandiflora)
frailly,: easily led into evil
frailness,: easily led into evil
frailty,: the quality or state of being frail
fraise,: an obstacle of pointed stakes driven into the ramparts of a fortification in a horizontal or inclined position
Fram,": pound, beat"
framable,": the physical makeup of an animal and especially a human body : physique, figure"
frambesia,: yaws
frame,": the physical makeup of an animal and especially a human body : physique, figure"
framea,: a spear with a long shaft and iron head used by the ancient Teutons
frameable,": the physical makeup of an animal and especially a human body : physique, figure"
framed,: having a frame : set in a frame
frameless,: having no frame
framer,": the physical makeup of an animal and especially a human body : physique, figure"
framework,: a basic conceptional structure (as of ideas)
framing,": frame, framework"
frampold,": peevish, cross, vexatious, quarrelsome"
franc,": any of various former basic monetary units (as in Belgium, France, and Luxembourg)"
franchisal,": of, relating to, or having the characteristics of a franchise"
franchise,: the right or license granted to an individual or group to market a company's goods or services in a particular territory
franchisement,: enfranchisement
franchiser,: franchisee
Francic,:  frankish
Francis,1936�     originally Jorge Mario Bergoglio pope (2013�  )
Franciscan,": a member of the Order of Friars Minor founded by St. Francis of Assisi in 1209 and dedicated especially to preaching, missions, and charities"
Francisco,city and port on
francium,: a short-lived radioactive element of the alkali-metal group occurring naturally as a disintegration product of actinium and also produced artificially  � see Chemical Elements Table
franco,: the frank of Equatorial Guinea  � see Money Table
Francois,: a furniture style modeled on that of the Italian Renaissance and introduced into France under Francis I
francolin,: any of a genus (Francolinus) of partridges of chiefly southern Asia and Africa
Franconian,"former duchy in Austrasia, now included chiefly in Baden-W�rttemberg, Bavaria, and Hesse states, Germany"
Francophile,: markedly friendly to France or French culture
Francophobia,: marked by a fear or strong dislike of France or French culture or customs
frangible,: readily or easily broken
frangipani,: a perfume derived from or imitating the odor of the flower of a frangipani (Plumeria rubra)
frangula,: emodin
Frank,": marked by free, forthright, and sincere expression"
frank,": marked by free, forthright, and sincere expression"
Frankenia,": a genus (the type of the family Frankeniaceae) of perennial herbs or undershrubs with opposite leaves and solitary pink, violet, or red flowers usually in the forks of the branches"
Frankeniaceae,: a family of perennial herbs or low-growing evergreen woody plants (order Parietales) native to seacoasts in temperate and subtropical regions and sometimes used as border or ground carpet plants in light sandy soil or in rockeries  � see frankenia
frankeniaceous,": a genus (the type of the family Frankeniaceae) of perennial herbs or undershrubs with opposite leaves and solitary pink, violet, or red flowers usually in the forks of the branches"
Frankenstein,: the title character in Mary W. Shelley's novel Frankenstein who creates a monster that ruins his life
franker,": marked by free, forthright, and sincere expression"
frankfurter,: a cured cooked sausage (as of beef or beef and pork) that may be skinless or stuffed in a casing
franking,": marked by free, forthright, and sincere expression"
Frankish,: of or relating to the Franks
Franklin,: a medieval English landowner of free but not noble birth
franklin,: a medieval English landowner of free but not noble birth
Franklinian,": of, relating to, or having the characteristics of Benjamin Franklin"
franklinite,: an iron-black slightly magnetic mineral ZnFe2O4 consisting of an oxide of iron and zinc occurring in octahedral crystals or massive and constituting a member of the magnetite series
frankly,: in a frank manner
frankmarriage,": the tenure in feudal law by which a man and his wife held an estate granted by a blood relative of the wife in consideration of their marriage, whether before or after it, to be held of the donor by the issue of the marriage to not less than the fourth generation and without other service than fealty"
frankness,": marked by free, forthright, and sincere expression"
frankpledge,: an Anglo-Saxon system under which each adult male member of a tithing was responsible for the good conduct of the others
frantically,": in a frantic manner : in a nervously hurried, desperate, or panic-stricken way"
franticness,: emotionally out of control
frappe,: chilled or partly frozen
frapping,: to draw tight (as with ropes or cables)
frass,: debris or excrement produced by insects
frat,: fraternity sense 1c
fratch,": quarrel, wrangle"
fratched,": irritated, peeved"
fratchy,: irritable and argumentative : peevish
frater,: a refectory of a monastery
fraternal,": of, relating to, or involving brothers"
fraternalism,": of, relating to, or involving brothers"
fraternalist,: a person who practices or advocates fraternalism
fraternally,": of, relating to, or involving brothers"
fraternity,": a group of people associated or formally organized for a common purpose, interest, or pleasure: such as"
fraternize,: to associate or mingle as brothers or on fraternal terms
fraternizer,: to associate or mingle as brothers or on fraternal terms
Fraticelli,: any of several small Christian sects existing chiefly in Italy from the 13th to the 15th centuries and having some connection with the Franciscans: such as
fratority,: a society or club including both men and women or boys and girls
fratricidal,: one that murders or kills his or her own brother or sister or an individual (such as a countryman) having a relationship like that of a brother or sister
fratricide,: one that murders or kills his or her own brother or sister or an individual (such as a countryman) having a relationship like that of a brother or sister
fratry,: a refectory of a monastery
fraud,": deceit, trickery"
fraudful,: marked by fraud : fraudulent
fraudfully,: marked by fraud : fraudulent
fraudulence,: the quality or state of being fraudulent
fraudulent,": characterized by, based on, or done by fraud : deceitful"
fraudulently,": characterized by, based on, or done by fraud : deceitful"
fraught,: full of or accompanied by something specified
frawn,: bilberry sense 1a
fraxin,: a bitter yellowish crystalline glucoside C16H18O10 found especially in the bark of the ash and the horse chestnut
fray,": a usually disorderly or protracted fight, struggle, or dispute"
frayedly,: in the manner of one that is frayed
frayedness,: the quality or state of being frayed
fraying,: something rubbed or worn off by fraying
frayn,: to inquire of : ask
fraze,: a small milling cutter used to cut down the ends of canes or rods to receive a ferrule
frazer,Sir James George 1854�1941 Scottish anthropologist
frazil,: ice crystals or granules sometimes resembling slush that are formed in turbulent water
freak,: a sudden and odd or seemingly pointless idea or turn of the mind
freakiness,: freakish
freakishness,": whimsical, capricious"
freaky,: freakish
fream,: to make the roaring cry characteristic of rutting
freath,: to froth and foam
freck,": eager, ready"
frecken,: freckle
freckle,: any of the small brownish spots in the skin due to augmented melanin production that increase in number and intensity on exposure to sunlight
freckled,: having freckles
freckly,: any of the small brownish spots in the skin due to augmented melanin production that increase in number and intensity on exposure to sunlight
Freddie,  � compare FHLMC  � see also Federal Housing Finance Agency
Frederica,"site in southeastern Georgia on the western shore of Saint Simons Island containing the site of a fort built under the leadership of James Oglethorpe, founder of the colony of Georgia, in 1736."
Frederick,"city southeast of Hagerstown in northern Maryland population 65,239"
free,: not costing or charging anything
freeboard,: the distance between the waterline and the main deck or weather deck of a ship or between the level of the water and the upper edge of the side of a small boat
freeboot,": pirate, plunderer"
freebooter,": pirate, plunderer"
freebooting,": pirate, plunderer"
freeborn,: not born in vassalage or slavery
freed,: not costing or charging anything
freedman,: a person freed from slavery
freedom,: the quality or state of being free: such as
freedwoman,: a woman freed from slavery
freehanded,": generous, openhanded"
freehandedly,": generous, openhanded"
freehandedness,": generous, openhanded"
freehearted,": frank, unreserved"
freehold,: a tenure of real property by which an estate in fee simple or fee tail or an estate for life is held
freeholder,: a tenure of real property by which an estate in fee simple or fee tail or an estate for life is held
freeing,: not costing or charging anything
freely,: in a free manner: such as
freeman,: one enjoying civil or political liberty
freemartin,: a sexually imperfect usually sterile female calf twinborn with a male
freemasonry,": the principles, institutions, or practices of Freemasons"
freeness,: not costing or charging anything
freer,: one who frees someone or something
Freesia,": any of a genus (Freesia) of sweet-scented African herbs of the iris family with usually red, pink, white, or yellow flowers"
freestanding,: standing alone or on its own foundation free of support or attachment
freethinker,: a person who thinks freely or independently : one who forms opinions on the basis of reason independently of authority
freethinking,: a person who thinks freely or independently : one who forms opinions on the basis of reason independently of authority
freetrader,: one that practices or advocates free trade
freeway,: an expressway with fully controlled access
freewheel,: a clutch fitted in the rear hub of a bicycle that permits the rear wheel to run on free from the rear sprocket when the pedals are stopped
freewheeler,: a clutch fitted in the rear hub of a bicycle that permits the rear wheel to run on free from the rear sprocket when the pedals are stopped
freewheeling,: free and loose in form or manner: such as
freewill,": voluntary, spontaneous"
freezable,: capable of or susceptible to being frozen
freeze,: to become congealed into ice by cold
freezer,: one that freezes or keeps cool
freezing,: very cold
freezingly,: very cold
Fregatae,: a suborder of the order Pelecaniformes that is coextensive with the family Fregatidae
Fregatidae,: a family of web-footed sea birds comprising the frigate birds  � see fregatae
freibergite,: argentian tetrahedrite
freieslebenite,": a mineral Pb3Ag5Sb5S12 consisting of a gray metallic-looking sulfide of antimony, lead, and silver"
freight,: the compensation paid for the transportation of goods
freightage,: freight
freighter,: one that loads or charters and loads a ship
freit,: a superstitious observance or idea
freity,: superstitious
fremd,": foreign, unfamiliar"
fremdly,": foreign, unfamiliar"
fremdness,": foreign, unfamiliar"
fremitus,: a sensation felt by a hand placed on a part of the body (such as the chest) that vibrates during speech
Fremontia,: a genus of Californian and Mexican shrubs (family Sterculiaceae) with alternate leaves and showy yellow flowers
frenal,: of or relating to a frenum
Frenatae,: a group of Lepidoptera comprising most that have a frenulum and including the butterflies and the majority of the moths
frenate,: having a frenum or frenulum
French,": of, relating to, or characteristic of France, its people, or their language"
frenched,": of, relating to, or characteristic of France, its people, or their language"
Frenchification,": to make French in qualities, traits, or typical practices"
frenchification,": to make French in qualities, traits, or typical practices"
Frenchify,": to make French in qualities, traits, or typical practices"
frenchify,": to make French in qualities, traits, or typical practices"
Frenchily,: in a Frenchy manner
Frenchiness,: the quality or state of being French or Frenchy
frenching,": of, relating to, or characteristic of France, its people, or their language"
Frenchism,: gallicism sense 1
Frenchize,: frenchify
Frenchman,: a native or inhabitant of France
Frenchness,": of, relating to, or characteristic of France, its people, or their language"
Frenchwoman,: a woman who is a native or inhabitant of France
Frenchy,: French in quality
frenetic,": marked by fast and energetic, disordered, or anxiety-driven activity : frenzied, frantic sense 2"
frenetical,: frenetic
frenetically,": marked by fast and energetic, disordered, or anxiety-driven activity : frenzied, frantic sense 2"
frenular,: of or relating to a frenulum
frenulum,: a connecting fold of membrane serving to support or restrain a part (such as the tongue)
frenum,: frenulum sense 1
frenzied,: feeling or showing great or abnormal excitement or emotional disturbance
frenziedly,: feeling or showing great or abnormal excitement or emotional disturbance
frenzy,: a temporary madness
frequence,: frequency
frequency,: the fact or condition of occurring frequently
frequent,": to associate with, be in, or resort to often or habitually"
frequentation,": to associate with, be in, or resort to often or habitually"
frequentative,: denoting repeated or recurrent action or state
frequenter,": to associate with, be in, or resort to often or habitually"
frequently,: at frequent or short intervals
frequentness,": to associate with, be in, or resort to often or habitually"
frescade,: a cool walk : shady place
fresco,: the art of painting on freshly spread moist lime plaster with water-based pigments
fresh,: having its original qualities unimpaired: such as
freshen,: to grow or become fresh: such as
freshener,: to grow or become fresh: such as
freshet,: stream sense 1
freshly,: having its original qualities unimpaired: such as
freshman,: a student in the first year of high school or college
freshmanic,": of, belonging to, or befitting a freshman (as in college)"
freshmanship,: the quality or state of being a freshman
freshness,: having its original qualities unimpaired: such as
fresnel,Augustin-Jean 1788�1827 French physicist
fresno,"city in south central California southeast of San Francisco population 494,665"
fret,: to eat or gnaw into : corrode
fretful,": disposed to fret : irritable, restless"
fretfully,": disposed to fret : irritable, restless"
fretfulness,": disposed to fret : irritable, restless"
fretless,: to eat or gnaw into : corrode
fretsome,": annoying, irritating, bothersome"
fretted,: to eat or gnaw into : corrode
fretter,: one that frets
fretting,: to eat or gnaw into : corrode
frettingly,: in the manner of one that frets
fretty,: covered with narrow bands interlacing saltirewise
fretum,: an arm of the sea : strait
fretwork,: decoration consisting of work adorned with frets
fretworked,: decorated with fretwork
Freudian,": of, relating to, or according with the psychoanalytic theories or practices of Sigmund Freud"
Freudianism,": of, relating to, or according with the psychoanalytic theories or practices of Sigmund Freud"
Freudism,:  freudianism
Freya,: the Norse goddess of love and beauty
Freycinetia,: a genus of Asiatic evergreen woody climbers (family Pandanaceae) with fleshy often brightly colored bracts and red berries
friability,: easily crumbled or pulverized
friable,: easily crumbled or pulverized
friand,: dainty or fond of dainties
friar,: a member of a mendicant order
friarbird,: an Australian honeyeater (Philemon corniculatus) having the head black and destitute of feathers
friarly,: resembling a friar : relating to friars
friary,: a monastery of friars
frib,: a short small dirty lock of wool
fribble,: to trifle or fool away
fribbling,: to trifle or fool away
fribby,": small, short"
fricandeau,: larded veal roasted and glazed
fricassee,: a dish of pieces of meat (such as chicken) or vegetables stewed in stock and served in a white sauce
frication,: friction
fricative,: a consonant characterized by frictional passage of the expired breath through a narrowing at some point in the vocal tract
fricatrice,: a lewd woman : harlot
friction,: the rubbing of one body against another
frictional,: of or relating to friction
frictionally,: of or relating to friction
frictionize,: to act upon by friction or rubbing
frictionless,: the rubbing of one body against another
frictionlessly,: the rubbing of one body against another
Friday,: the sixth day of the week
fried,: cooked in hot oil or butter : cooked by frying
friedcake,": doughnut, cruller"
friedelite,": a mineral Mn8Si6O18(OH, Cl)4�3H2O consisting of a rose-red manganese silicate containing chlorine (hardness 4�5, specific gravity 3.07)"
friedrichsdor,: a gold coin of Prussia equal to five silver thalers first struck by Frederick II in the second half of the 18th century
friend,: one attached to another by affection or esteem
friended,: one attached to another by affection or esteem
friendless,: one attached to another by affection or esteem
friendlessness,: one attached to another by affection or esteem
friendlily,": of, relating to, or befitting a friend: such as"
friendliness,: the quality or state of being friendly: such as
friendly,": of, relating to, or befitting a friend: such as"
friendship,: the state of being friends
frier,: something intended for or used in frying: such as
Friesian,: holstein
frieze,: a heavy durable coarse wool and shoddy fabric with a rough surface
friezy,: made of frieze or of a rough cloth resembling frieze
frig,: copulate
frigate,: a light boat propelled originally by oars but later by sails
friggle,: to fuss over trifles : putter
fright,: fear excited by sudden danger : alarm
frighten,: to make afraid : terrify
frightenable,: capable of being frightened
frightened,: feeling fear : made to feel afraid
frightenedly,: in a frightened manner
frightening,: causing fear
frighteningly,: to make afraid : terrify
frightful,: causing intense fear or alarm : terrifying
frightfully,: causing intense fear or alarm : terrifying
frightfulness,: causing intense fear or alarm : terrifying
frigid,: intensely cold
frigidarium,: a room of the ancient Roman thermae furnished with a cold bath and used for cooling off
frigidity,: the quality or state of being frigid
frigidly,: intensely cold
frigidness,: intensely cold
frigorific,: causing cold : chilling
frigorimeter,: a low-temperature thermometer
frijol,: any of various beans used in Mexican style cooking
frijolillo,: any of several leguminous herbs or trees: such as
frill,: to provide or decorate with a frill
frilled,: to provide or decorate with a frill
frillery,: an arrangement of frills (as on a dress) : frill
frilliness,: the quality of being frilly
frilling,: to provide or decorate with a frill
frilly,: to provide or decorate with a frill
frim,: marked by good physical condition : flourishing
fringe,: an ornamental border consisting of short straight or twisted threads or strips hanging from cut or raveled edges or from a separate band
fringed,: having a border with fringe
fringeflower,: butterfly flower
fringeless,: an orchid (Habenaria peramoena) of northeastern and alpine eastern North America that is closely related to the large-flowered purple-fringed orchid but has rosy purple to purple violet flowers with the lip divisions denticulate
fringepod,: a plant of the genus Thysanocarpus
Fringetail,: a goldfish with some of the fins long and fringed
Fringilla,": a genus (the type of the family Fringillidae) of singing birds including the chaffinch, brambling, and related forms"
Fringillidae,": a family of small seed-eating passerine birds that comprise the finches, that have strong bills which are short and usually thick at the base, and that often exhibit well-marked sexual dimorphism with the juveniles resembling the females"
fringing,: an ornamental border consisting of short straight or twisted threads or strips hanging from cut or raveled edges or from a separate band
fringy,: an ornamental border consisting of short straight or twisted threads or strips hanging from cut or raveled edges or from a separate band
fripperer,: one who deals in frippery or in old clothes
frippery,: cast-off clothes
frisette,: a fringe of hair or curls worn on the forehead by women
Frisian,": of, relating to, or characteristic of Friesland, the Frisians, or Frisian"
Frisii,: a Germanic people that settled along the coast of the North sea in prehistoric times
frisk,: to search (a person) for something (such as a concealed weapon) by running the hand rapidly over the clothing and through the pockets
frisker,: to search (a person) for something (such as a concealed weapon) by running the hand rapidly over the clothing and through the pockets
frisket,: a masking device or material used especially in printing or graphic arts
friskily,: inclined to frisk : playful
friskiness,: inclined to frisk : playful
frisking,: to search (a person) for something (such as a concealed weapon) by running the hand rapidly over the clothing and through the pockets
friskingly,: in a frisking manner
frisky,: inclined to frisk : playful
frisolee,: mosaic
frison,: waste silk usually taken from the outside of the cocoon
frisure,": a style of curling or dressing the hair : hairdressing, hairdo"
frit,: the calcined or partly fused materials of which glass is made
frith,: estuary
frithborh,: frankpledge
frithstool,: a seat of sanctuary or refuge placed in ancient times in some English churches
Fritillaria,: any of a widespread genus (Fritillaria) of bulbous herbs of the lily family with variably colored and often mottled or checkered flowers
fritillary,: fritillaria
fritter,: a small mass of fried or saut�ed batter often containing fruit or meat
fritterer,: a small mass of fried or saut�ed batter often containing fruit or meat
Fritz,: a state of disorder or disrepair
Friulian,district of northern Italy in Friuli-Venezia Giulia on the border with Slovenia
frivol,: to act frivolously : trifle
frivoler,: to act frivolously : trifle
frivolity,: the quality or state of being frivolous
frivolous,: of little weight or importance
frivolously,: of little weight or importance
frivolousness,: of little weight or importance
frizer,: one that frizzes
frizz,: to form into small tight curls
frizzer,: one that frizzes
frizzily,: in a frizzy manner
frizziness,: not smooth and neat because individual shafts are variably wavy and do not align together
frizzing,: to form into small tight curls
frizzle,": frizz, curl"
frizzly,: frizzy
