word,meaning
Whitmonday,": the day after Whitsunday observed as a legal holiday in England, Wales, and Ireland"
whits,: the smallest part or particle imaginable : bit
whitster,: a linen bleacher
Whitsun,": of, relating to, or observed on Whitsunday or at Whitsuntide"
Whitsunday,: pentecost sense 2
Whitsuntide,: the week beginning with Whitsunday and especially the first three days of this week
whittaw,: one who processes skins by tawing (as to form rawhide)
whitten,: any of several trees or shrubs: such as
whitterick,: a European curlew (Numenius arquata)
whittle,: a large knife
whittler,: a large knife
whittling,: the act or art of whittling
whittret,: weasel
whity,: somewhat white : whitish
whiz,": to hum, whir, or hiss like a speeding object (such as an arrow or ball) passing through air"
whizgig,: something (as a toy) that whirls with a whizzing sound
whizzer,: one that whizzes
whizzing,": to hum, whir, or hiss like a speeding object (such as an arrow or ball) passing through air"
whizzle,: whiz
who,: what or which person or persons
whoa,: cease or slow a course of action or a line of thought : pause to consider or reconsider
whodunit,: a detective story or mystery story
whoever,: whatever person : no matter who
whole,: free of wound or injury : unhurt
wholehearted,": completely and sincerely devoted, determined, or enthusiastic"
wholeheartedly,": completely and sincerely devoted, determined, or enthusiastic"
wholeheartedness,: the quality or state of being wholehearted
wholeness,: free of wound or injury : unhurt
wholesale,: the sale of commodities in quantity usually for resale (as by a retail merchant)
wholesaler,": a merchant middleman who sells chiefly to retailers, other merchants, or industrial, institutional, and commercial users mainly for resale or business use"
wholesome,: promoting health or well-being of mind or spirit
wholesomely,: promoting health or well-being of mind or spirit
wholesomeness,: promoting health or well-being of mind or spirit
wholly,: to the full or entire extent : completely
whoo,: the cry of an owl
whoof,: a deep snorting sound (as made by a four-footed animal)
whoop,": to utter a whoop in expression of eagerness, enthusiasm, or enjoyment : shout"
whoopee,: boisterous convivial fun : merrymaking
whooper,: one that whoops
whooping,": to utter a whoop in expression of eagerness, enthusiasm, or enjoyment : shout"
whoosh,: a swift or explosive rush
whop,: to pull or whip out
whopper,: something unusually large or otherwise extreme of its kind
whopping,: extremely large
whorage,: whore
whore,: a person who engages in sexual intercourse for pay : prostitute
whoredom,: the practice of whoring : prostitution
whoremaster,: a man consorting with whores or given to lechery
whoremonger,: whoremaster
whoreson,: a child born to parents not married to each other
whorish,: of or befitting a whore
whorl,: a drum-shaped section on the lower part of a spindle in spinning or weaving machinery serving as a pulley for the tape drive that rotates the spindle
whorled,: having or arranged in whorls
whorlflower,: a Eurasian herb of the genus Morina (family Dipsacaceae) with flowers in dense whorls
whorly,: whorled
whorlywort,:  culver's root
whort,: bilberry sense 1a
whortle,: bilberry sense 1a
whortleberry,: bilberry
whose,: of or relating to whom or which especially as possessor or possessors
whosesoever,: of or relating to whomsoever
whosever,": of, belonging to, or relating to whomever"
whosomever,: whoever
whuff,: to blow noisily
whuffle,: to blow noisily
whup,: to administer a beating to especially as punishment
why,": for what cause, reason, or purpose"
whyever,: for whatever reason : why
whyfor,": reason, wherefore"
whyo,: a member of a gang of holdup men
wi,when issued
Wichita,"city on the Arkansas River in south central Kansas population 382,368"
wick,": a bundle of fibers or a loosely twisted, braided, or woven cord, tape, or tube usually of soft spun cotton threads that by capillary attraction draws up to be burned a steady supply of the oil in lamps or the melted tallow or wax in candles"
wickawee,: an Indian paintbrush (Castilleja coccinea)
wicked,: morally very bad : evil
wickedly,: morally very bad : evil
wickedness,: the quality or state of being wicked
wicker,: a small pliant twig or branch (as of osier) : withe
wickerwork,: work consisting of interlaced pliable twigs or branches
wicket,: a small gate or door
wicketkeep,: wicketkeeper
wicketkeeper,: a fielder in cricket who stands behind the wicket at which the ball is being bowled
wicketwork,: a bord-and-pillar system of coal mining
wicking,: material for wicks
wickiup,": a hut used by the nomadic Indians of the arid regions of the western and southwestern U.S. with a usually oval base and a rough frame covered with reed mats, grass, or brushwood"
wickup,: wicopy
wicky,: any of various low-growing laurels (genus Kalmia)
wicopy,: American basswood
wid,widow; widower
widdendream,: mental excitement or confusion : a mad fit : fury
widdershins,": in a left-handed, wrong, or contrary direction : counterclockwise  � compare deasil"
widdifow,: fit for the gallows : rascally
widdle,: wriggle
widdy,: a rope of osiers
wide,: having great extent : vast
widely,: over or through a wide area
widemouthed,: having one's mouth opened wide (as in awe)
widen,": to increase the width, scope, or extent of"
widener,": to increase the width, scope, or extent of"
wideness,: having great extent : vast
widespread,: widely diffused or prevalent
widework,: a bord-and-pillar system of coal mining in which the very narrow pillars left to support the roof are not recovered
widgeon,: any of several freshwater ducks (genus Anas): such as
widish,: somewhat wide
widow,: a woman who has lost her spouse or partner by death and usually has not remarried
widowed,: a woman who has lost her spouse or partner by death and usually has not remarried
widower,: a man who has lost his spouse or partner by death and usually has not remarried
widowered,: made a widower
widowerhood,: the fact or state of being a widower
widowhood,: the fact or state of being a widow
widowly,": of, relating to, or befitting a widow"
widowman,: widower
width,: the horizontal measurement taken at right angles to the length : breadth
widthways,: widthwise
widthwise,: in the direction of the width : latitudinally
wield,: to deal successfully with : manage
wielder,: to deal successfully with : manage
wieldy,: capable of being wielded easily
wiener,": frankfurter, hot dog"
wienerwurst,: vienna sausage
wienie,": frankfurter, hot dog"
wiesenboden,: any of an intrazonal group of dark brown to black meadow soils rich in organic matter with gray underlayers developed through poor drainage in humid or subhumid grassy or sedgy regions
wife,: woman
wifehood,: woman
wifeless,: woman
wifelike,: in a wifely manner
wifely,": of, relating to, or befitting a wife"
wifish,: wifely
wig,: a manufactured covering of natural or synthetic hair for the head
wigan,: a stiff plain-weave cotton fabric used for interlining
wigged,: wearing a wig especially of a specified kind
wiggen,: rowan tree sense 1
wigger,: wigmaker
wiggery,: the use of wigs
wigging,: a manufactured covering of natural or synthetic hair for the head
wiggle,: to move to and fro with quick jerky or shaking motions : jiggle
wiggler,: a larva or pupa of the mosquito
wiggly,: to move to and fro with quick jerky or shaking motions : jiggle
wiggy,: marked by excessive gravity and formality : pompous
wight,: a living being : creature
wigless,: having or wearing no wig
wiglet,: a small wig used especially to enhance a hairstyle
wigmaker,: one that makes or deals in wigs
wigwag,: to signal by wigwagging
wigwam,": a hut of the American Indians of the Great Lakes region and eastward having typically an arched framework of poles overlaid with bark, mats, or hides"
wiikite,": a mineral consisting probably of a mixture of samarskite, betafite, and perhaps allanite and occurring in pegmatite in Impilakhti parish on Lake Ladoga, Finland"
Wikeno,: a Bellabella people of British Columbia
Wikstroemia,: a genus of chiefly Asiatic shrubs (family Thymelaeaceae) including some (as W. canescens) with bark that yields a fiber used in making paper and cloth
Wilbur,Richard Purdy 1921�2017 American poet and translator; poet laureate (1987�88)
Wilburite,: a member of the Religious Society of Friends (Conservative) formed in the U.S. in 1845 as a protest on behalf of Inner Light against the doctrine of the Gurneyites
wild,: living in a state of nature and not ordinarily tame or domesticated
wildbore,: a formerly popular durable woolen dress fabric
wildcat,: an Old World cat (Felis silvestris) that resembles but is heavier in build than the domestic tabby cat and is usually held to be among the ancestors of the domestic cat
wildcatter,: one that drills wells in the hope of finding oil in territory not known to be an oil field
wildcatting,: an Old World cat (Felis silvestris) that resembles but is heavier in build than the domestic tabby cat and is usually held to be among the ancestors of the domestic cat
wildebeest,": either of two large African antelopes (Connochaetes gnou and C. taurinus) with a head like that of an ox, short mane, long tail, and horns in both sexes that curve downward and outward"
wilder,: to lead astray
wildering,: to lead astray
wilderment,: to lead astray
wilderness,: a tract or region uncultivated and uninhabited by human beings
wildfire,: a sweeping and destructive conflagration especially in a wilderness or a rural area
wildfowl,: a game bird
wilding,: a plant growing uncultivated in the wild either as a native or an escape
wildish,: living in a state of nature and not ordinarily tame or domesticated
wildlife,": living things and especially mammals, birds, and fishes that are neither human nor domesticated"
wildling,: wilding
wildly,: in a wild manner
wildness,: living in a state of nature and not ordinarily tame or domesticated
wildwind,: hurricane
wile,: a trick or stratagem intended to ensnare or deceive
wilga,: an Australian plant of the genus Geijera (family Rutaceae)
wilgers,: osier sense 1a
Wilhelmina,1880�1962 queen of the Netherlands (1890�1948)
wilily,: full of wiles : crafty
wiliness,: full of wiles : crafty
wilkeite,": a mineral consisting of an hydroxylapatite in which phosphorous is partly replaced by carbon, sulfur, silicon, or a combination thereof  � compare apatite"
Wilkinson,Ellen Cicely 1891�1947 English politician
Will,": desire, wish"
will,": desire, wish"
willable,: capable of being willed
willed,: having a will especially of a specified kind
willemite,: a mineral of varying color consisting of a silicate of zinc and occurring especially in massive or granular forms
willer,: one that wills
willet,: a large American shorebird (Catoptrophorus semipalmatus) of the sandpiper family that resembles the greater yellowlegs but has a thicker bill and gray legs and that displays a black-and-white wing pattern when in flight
willey,: willow sense 3a
willeyer,: willower sense 1
willful,: obstinately and often perversely self-willed
willfully,: obstinately and often perversely self-willed
willfulness,: obstinately and often perversely self-willed
William,name of 4 kings of England: I (the Conqueror) circa 1028�1087 (reigned 1066�87); II (
williamsite,: a mineral consisting of a green variety of serpentine used for decorative purposes
Williamsonia,: a genus (the type of the family Williamsoniaceae) of fossil cycads having slender more or less branched stems and conspicuous bracts or scales associated with the fructification and occurring in rocks from the Upper Triassic to Middle Cretaceous in both the New and Old Worlds
Willie,: penis
willie,: penis
willies,: a fit of nervousness : jitters
willing,: inclined or favorably disposed in mind : ready
willinghearted,: heartily willing or disposed
willinghood,: willingness
willingly,: inclined or favorably disposed in mind : ready
willingness,: inclined or favorably disposed in mind : ready
williwaw,: a sudden violent gust of cold land air common along mountainous coasts of high latitudes
willock,: any of several birds of the family Alcidae:
willow,": any of a genus (Salix of the family Salicaceae, the willow family) of trees and shrubs bearing catkins of apetalous flowers and including forms of value for wood, osiers, or tanbark and a few ornamentals"
willowbiter,: either of two titmice:
willowed,: edged with or abounding in willows
willower,: a textile worker who operates a willow
willowlike,": any of a genus (Salix of the family Salicaceae, the willow family) of trees and shrubs bearing catkins of apetalous flowers and including forms of value for wood, osiers, or tanbark and a few ornamentals"
willowware,: dinnerware that is usually blue and white and that is decorated with a story-telling design featuring a large willow tree by a little bridge
willowweed,: a European loosestrife (Lysimachia vulgaris)
willowworm,: a worm that is the larva of a willow moth or willow sawfly
willowy,: abounding with willows
Willy,: penis
willy,: penis
Wilson,August 1945�2005 originally Frederick August Kittel American playwright
Wilsonian,August 1945�2005 originally Frederick August Kittel American playwright
wilt,: to lose turgor from lack of water
Wilton,: a carpet woven with loops like the Brussels carpet but having a velvet cut pile and being generally of better materials
Wiltshire,"county of southern England; capital Trowbridge area 1392 square miles (3605 square kilometers), population 470,981"
wily,: full of wiles : crafty
wimble,: any of various instruments for boring holes
wimick,": cry, whimper"
wimple,: a cloth covering worn over the head and around the neck and chin especially by women in the late medieval period and by some nuns
Win,: to get possession of by effort or fortune
win,: to get possession of by effort or fortune
wince,: to shrink back involuntarily (as from pain) : flinch
wincer,: one that winces
wincey,": a plain or twilled fabric with wool weft and cotton or linen warp that is used especially for warm shirts, skirts, and pajamas"
winch,: any of various machines or instruments for hauling or pulling
wincher,: any of various machines or instruments for hauling or pulling
Winchester,: relating to or being computer disk technology that permits high-density storage by sealing the rigid metal disks within the disk drive mechanism as protection against dust
winchman,: one who runs a winch
wincing,: to shrink back involuntarily (as from pain) : flinch
wincingly,: in a wincing manner
Wind,: a natural movement of air of any velocity
wind,: a natural movement of air of any velocity
windage,: the space between the projectile of a smoothbore gun and the surface of the bore
windbag,: an exhaustively talkative person
windbaggery,: pompous meaningless talk
windberry,: lingonberry
windbracing,: the act or process of bracing a frame against winds
windbreak,: a growth of trees or shrubs serving to break the force of wind
Windbreaker,: a jacket made of wind-resistant material
windbreaker,: a jacket made of wind-resistant material
winddog,: sun dog
winded,: a natural movement of air of any velocity
winder,: one that winds: such as
windfall,: something (such as a tree or fruit) blown down by the wind
windfallen,: blown down by the wind
windfirm,: firm enough to withstand strong wind
windfish,: a fallfish (Semotilus corporalis) of northeastern North America
windflaw,: a gust of wind : flaw
windflower,: anemone sense 1
windgall,: a soft tumor or synovial swelling on a horse's leg in the region of the fetlock joint
windgalled,: affected with windgall
windhole,: a ventilating shaft in a mine
windhover,: kestrel
windigo,: a cannibalistic creature of Algonquian mythology believed to have been a lost hunter forced by hunger to eat human flesh and thereafter to have become a crazed man-eating ogre roaming the forest
windily,: windswept
windiness,: windswept
winding,: material (such as wire) wound or coiled about an object (such as an armature)
windjammer,: a sailing ship
windjamming,: a sailing ship
windlass,: any of various machines for hoisting or hauling: such as
windlasser,: an operator of a windlass
windle,: a locally varying measure (as for wheat) used in northern England and Scotland
windles,: a ribgrass (Plantago lanceolata)
windless,: a natural movement of air of any velocity
windlessly,: a natural movement of air of any velocity
windlestraw,: a dry thin stalk of grass
windlin,: a bundle of hay or straw
windling,: a bundle of hay or straw
windmill,: a mill or machine operated by the wind usually acting on oblique vanes or sails that radiate from a horizontal shaft
windore,: window
window,: an opening especially in the wall of a building for admission of light and air that is usually closed by casements or sashes containing transparent material (such as glass) and capable of being opened and shut
windowful,: as much or as many as a window will hold or allow to pass through or be visible
windowless,: an opening especially in the wall of a building for admission of light and air that is usually closed by casements or sashes containing transparent material (such as glass) and capable of being opened and shut
windowlight,: windowpane sense 1
windowman,: a man in charge of a window (as in a ticket office or a bank)
windowpane,: a pane in a window
windowshut,: window shutter
windowy,: having many windows or openings
windpipe,: trachea sense 1
windproof,: impervious to wind
windroad,: airway sense 1
windroot,: butterfly weed sense 1
windrow,: a row of hay raked up to dry before being baled or stored
windrower,: a curved finger device attached to the rear of the cutter bar of a mowing machine to windrow the swath
windscreen,: a screen that protects against the wind
windshield,: a transparent screen (as of glass) that protects the occupants of a vehicle
windshock,: wind shake sense 1
Windsor,Duke of  � see edward viii
windstorm,: a storm marked by high wind with little or no precipitation
windsucker,: a horse that has the habit of wind sucking
windtight,: airtight sense 1
windup,: the act of bringing to an end
windward,: the side or direction from which the wind is blowing
windwardly,: windward sense 1b
windwardmost,: most windward
windwards,: the side or direction from which the wind is blowing
windway,: a passage for air (as in an organ pipe)
windy,: windswept
wine,: the alcoholic fermented juice of fresh grapes used as a beverage
wineberry,: a raspberry (Rubus phoenicolasius) of China and Japan grown for ornament and for the small red acid fruits half enclosed in the hairy calyx
wined,: the alcoholic fermented juice of fresh grapes used as a beverage
wineglass,: a stemware drinking glass for wine
winegrower,: a person who cultivates a vineyard and makes wine
winegrowing,: the occupation or industry of cultivating vineyards and producing wine
winehouse,: wineshop
wineless,: lacking wine
winery,: a wine-making establishment
Winesap,: an apple with deep red skin and juicy somewhat tart flesh
wineshop,: a tavern that specializes in serving wine
wineskin,: a bag that is made from the skin of an animal (such as a goat) and that is used for holding wine
winetaster,: a person who tastes and evaluates wine especially professionally
wing,": one of the movable feathered or membranous paired appendages by means of which a bird, bat, or insect is able to fly"
wingbeat,: a stroke of a bird's wings in flying
winged,: having wings
wingedly,": on or as if on the wing : lightly, swiftly, exaltedly"
wingedness,: the quality or state of having wings
winger,: a player (as in soccer or ice hockey) in a wing position
wingfish,: a sea robin having large pectoral fins like wings
wingless,: having no wings or very rudimentary wings
winglessness,: having no wings or very rudimentary wings
winglet,: a small wing
winglike,: resembling a wing in form or lateral position
wingman,: a pilot who flies behind and outside the leader of a flying formation
wingpiece,: a piece of scenery slid in from the wings
wingspread,: the spread of the wings : wingspan
wingstem,: golden ironweed
wingy,": one of the movable feathered or membranous paired appendages by means of which a bird, bat, or insect is able to fly"
winish,": of, relating to, characteristic of, or resembling wine"
wink,: to shut one eye briefly as a signal or in teasing
winker,: one that winks
winking,: to shut one eye briefly as a signal or in teasing
winkingly,: in a winking manner
winkle,: periwinkle entry 2
winna,: will not
winnable,: to get possession of by effort or fortune
winnard,: the European redwing
Winnebago,: a Siouan people in eastern Wisconsin south of Green Bay
winner,: one that wins: such as
Winnie,: an award presented annually by a professional organization for notable achievement in fashion design
winning,: the act of one that wins : victory
